"role_id","hero_id","upgrade_count","target_level","upgrade_rank","pay_tag","hero_cn"
"13572097322638",1020,1,1,1,中R,浓姬SSR
"13572097322638",1032,1,5,1,中R,石田三成SSR
"13572097322638",1167,1,1,1,中R,刚·岛津义久UR
"13572097322638",1008,1,3,1,中R,织田信长SSR+
"13572097322638",1169,1,5,1,中R,勇·前田利家SSR+
"13572097322638",1313,1,0,1,中R,UR-佐竹义重
"13572097322638",1093,1,6,1,中R,光·井伊直虎UR
"13572097322638",1018,1,3,1,中R,上杉谦信SSR+
"13572097322638",1152,2,1,10,中R,刚·德川家康UR
"13572097322638",1299,2,1,10,中R,联动-望月千代女UR
"13572097322638",1023,2,4,10,中R,明智光秀SSR
"13572097322638",1009,2,3,10,中R,丰臣秀吉SSR+
"13572097322638",1039,3,5,14,中R,柴田胜家SSR
"13572097322638",1311,3,1,14,中R,S35山本勘助UR
"13572097322638",1127,3,5,14,中R,谋·上杉谦信SSR+
"13572097322638",1052,3,2,14,中R,光·真田幸村UR
"13572097322638",1121,3,7,14,中R,谋·织田信长SSR+
"13572097322638",1304,3,2,14,中R,S33前田庆次UR
"15139759870045",1012,1,7,1,微R,阿市SSR+
"15139759870045",1018,2,4,2,微R,上杉谦信SSR+
"15139759870045",1016,2,4,2,微R,真田幸村SSR+
"15139759870045",1122,4,3,4,微R,援·丰臣秀吉SSR+
"13301514166916",1143,1,3,1,小R,勇·本多忠胜SSR+
"13301514166916",1122,1,5,1,小R,援·丰臣秀吉SSR+
"13301514166916",1211,1,1,1,小R,刚·最上义光UR
"13301514166916",1009,2,2,4,小R,丰臣秀吉SSR+
"13301514166916",1018,2,2,4,小R,上杉谦信SSR+
"13301514166916",1169,2,2,4,小R,勇·前田利家SSR+
"13301514166916",1144,3,3,7,小R,援·阿国SSR+
"15006616030149",1009,1,3,1,微R,丰臣秀吉SSR+
"15006616030149",1165,1,1,1,微R,柔·井伊直虎UR
"15006616030149",1018,1,2,1,微R,上杉谦信SSR+
"15006616030149",1152,2,4,4,微R,刚·德川家康UR
"15006616030149",1015,2,6,4,微R,德川家康SSR+
"15006616030149",1122,2,5,4,微R,援·丰臣秀吉SSR+
"15006616030149",1166,3,1,7,微R,柔·阿松UR
"15006616030149",1040,3,3,7,微R,阿国SSR+
"15006616030149",1144,12,4,9,微R,援·阿国SSR+
"13636521583189",1019,1,3,1,非R,宁宁SSR
"13636521583189",1146,1,3,1,非R,谋·今川义元SSR
"13636521583189",1210,1,2,1,非R,S13结城晴朝SSR+
"13636521583189",1149,1,5,1,非R,勇·森兰丸SSR
"13636521583189",1134,1,1,1,非R,谋·德川家康SSR+
"13636521583189",1132,1,2,1,非R,援·阿市SSR+
"13636521583189",1016,1,3,1,非R,真田幸村SSR+
"13636521583189",1133,2,6,8,非R,勇·真田幸村SSR+
"13636521583189",1065,2,2,8,非R,小早川隆景SSR
"13636521583189",1166,3,1,10,非R,柔·阿松UR
"13636521583189",1061,3,1,10,非R,茶茶SSR
"13636521583189",1020,3,2,10,非R,浓姬SSR
"13636521583189",1152,3,3,10,非R,刚·德川家康UR
"13636521583189",1038,4,3,14,非R,本多忠胜SSR+
"13636521583189",1010,4,2,14,非R,宫本武藏SSR
"15556371559324",1119,1,5,1,非R,援·宁宁SSR
"15556371559324",1133,1,2,1,非R,勇·真田幸村SSR+
"15556371559324",1012,1,2,1,非R,阿市SSR+
"15556371559324",1042,1,1,1,非R,浅井长政SSR
"15556371559324",1077,1,2,1,非R,直江兼续SR
"15556371559324",1150,2,4,6,非R,勇·望月千代女SSR
"15556371559324",1075,2,3,6,非R,今川义元SR
"15556371559324",1038,2,4,6,非R,本多忠胜SSR+
"15556371559324",1137,2,1,6,非R,谋·石田三成SSR
"15556371559324",1148,2,2,6,非R,坚·立花宗茂SSR
"15556371559324",1124,2,1,6,非R,勇·伊达政宗SSR
"15556371559324",1118,2,1,6,非R,援·阿松SSR
"15556371559324",1028,2,1,6,非R,真田信幸SR
"15556371559324",1045,3,2,14,非R,足利义辉SSR
"15556371559324",1120,3,5,14,非R,援·阿初SSR
"15556371559324",1130,3,1,14,非R,坚·武田信玄SSR
"15925739249271",1120,1,4,1,微R,援·阿初SSR
"15925739249271",1073,1,4,1,微R,浓姬SR
"15925739249271",1123,1,5,1,微R,勇·宫本武藏SSR
"15925739249271",1133,1,2,1,微R,勇·真田幸村SSR+
"15925739249271",1149,1,5,1,微R,勇·森兰丸SSR
"15925739249271",1058,1,1,1,微R,光·丰臣秀吉UR
"15925739249271",1125,1,5,1,微R,勇·佐佐木小次郎SSR
"15925739249271",1311,2,1,8,微R,S35山本勘助UR
"15925739249271",1021,2,1,8,微R,伊达政宗SSR
"15925739249271",1121,3,2,10,微R,谋·织田信长SSR+
"15925739249271",1147,3,2,10,微R,谋·茶茶SSR
"15925739249271",1122,4,2,12,微R,援·丰臣秀吉SSR+
"22166326983391",1131,1,5,1,非R,坚·立花訚千代SSR
"22166326983391",1063,1,1,1,非R,森兰丸SSR
"22166326983391",1149,1,5,1,非R,勇·森兰丸SSR
"22166326983391",1071,1,5,1,非R,石田三成SR
"22166326983391",1130,1,5,1,非R,坚·武田信玄SSR
"22166326983391",1041,1,5,1,非R,森兰丸SR
"22166326983391",1028,1,5,1,非R,真田信幸SR
"22166326983391",1068,1,5,1,非R,木下秀吉SR
"22166326983391",1137,1,5,1,非R,谋·石田三成SSR
"22166326983391",1077,1,5,1,非R,直江兼续SR
"22166326983391",1150,1,5,1,非R,勇·望月千代女SSR
"22166326983391",1073,2,5,12,非R,浓姬SR
"22166326983391",1143,2,1,12,非R,勇·本多忠胜SSR+
"22166326983391",1170,2,2,12,非R,谋·竹中半兵卫SSR+
"22166326983391",1076,2,5,12,非R,浅井长政SR
"22166326983391",1070,2,5,12,非R,明智光秀SR
"22166326983391",1166,3,1,17,非R,柔·阿松UR
"22166326983391",1171,5,1,18,非R,谋·黑田官兵卫SSR+
"16119012479822",1023,1,4,1,非R,明智光秀SSR
"16119012479822",1061,1,4,1,非R,茶茶SSR
"16119012479822",1211,1,1,1,非R,刚·最上义光UR
"16119012479822",1121,2,6,4,非R,谋·织田信长SSR+
"16119012479822",1019,2,5,4,非R,宁宁SSR
"16119012479822",1093,3,4,6,非R,光·井伊直虎UR
"16119012479822",1010,3,4,6,非R,宫本武藏SSR
"16119012479822",1020,3,5,6,非R,浓姬SSR
"14431090331501",1023,1,3,1,非R,明智光秀SSR
"14431090331501",1114,1,0,1,非R,S4风魔小太郎UR
"14431090331501",1170,2,3,3,非R,谋·竹中半兵卫SSR+
"14431090331501",1166,2,0,3,非R,柔·阿松UR
"14431090331501",1038,3,2,5,非R,本多忠胜SSR+
"14431090331501",1010,3,4,5,非R,宫本武藏SSR
"17416092494762",1134,1,7,1,微R,谋·德川家康SSR+
"17416092494762",1015,2,6,2,微R,德川家康SSR+
"17416092494762",1166,2,1,2,微R,柔·阿松UR
"17416092494762",1050,3,3,4,微R,暗·织田信长UR
"17416092494762",1018,3,6,4,微R,上杉谦信SSR+
"14177687491451",1169,1,2,1,非R,勇·前田利家SSR+
"14177687491451",1038,1,4,1,非R,本多忠胜SSR+
"14177687491451",1144,1,5,1,非R,援·阿国SSR+
"14177687491451",1121,1,7,1,非R,谋·织田信长SSR+
"14177687491451",1199,2,1,5,非R,S10足利义昭UR
"14177687491451",1134,3,3,6,非R,谋·德川家康SSR+
"14980846238755",1129,1,0,1,非R,刚·织田信长UR
"14980846238755",1038,3,1,2,非R,本多忠胜SSR+
"15131170154497",1129,2,3,1,非R,刚·织田信长UR
"15131170154497",1211,7,2,2,非R,刚·最上义光UR
"13804025544326",1292,1,1,1,非R,S30明智光秀UR
"16642998410877",1015,1,7,1,非R,德川家康SSR+
"15693810817531",1083,3,2,1,中R,暗·茶茶UR
"15693810817531",1165,4,3,2,中R,柔·井伊直虎UR
"15693810817531",1058,5,2,3,中R,光·丰臣秀吉UR
"16119012345784",1134,1,3,1,非R,谋·德川家康SSR+
"16119012345784",1038,3,3,2,非R,本多忠胜SSR+
"16119012345784",1152,6,3,3,非R,刚·德川家康UR
"16904991884260",1024,1,2,1,非R,长宗我部元亲SR
"13713830750467",1008,1,5,1,微R,织田信长SSR+
"13511967306914",1050,1,1,1,非R,暗·织田信长UR
"13511967306914",1038,1,7,1,非R,本多忠胜SSR+
"13511967306914",1064,2,4,3,非R,望月千代女SSR
"13511967306914",1015,2,6,3,非R,德川家康SSR+
"13511967306914",1012,4,4,5,非R,阿市SSR+
"17141214862024",1063,1,5,1,小R,森兰丸SSR
"17141214862024",1018,1,6,1,小R,上杉谦信SSR+
"17141214862024",1311,2,1,3,小R,S35山本勘助UR
"17141214862024",1057,3,5,4,小R,光·德川家康UR
"17141214862024",1009,3,7,4,小R,丰臣秀吉SSR+
"17141214862024",1161,3,1,4,小R,刚·本多忠胜UR
"14963666206287",1046,1,5,1,小R,今川义元SSR
"14963666206287",1013,1,5,1,小R,阿松SSR
"14963666206287",1027,1,5,1,小R,毛利元就SSR
"14963666206287",1134,1,6,1,小R,谋·德川家康SSR+
"14963666206287",1050,2,1,5,小R,暗·织田信长UR
"14963666206287",1008,2,7,5,小R,织田信长SSR+
"14963666206287",1093,2,4,5,小R,光·井伊直虎UR
"14963666206287",1152,4,4,8,小R,刚·德川家康UR
"14963666206287",1127,4,5,8,小R,谋·上杉谦信SSR+
"14963666206287",1312,6,1,10,小R,S35真田幸隆SSR+
"14963666206287",1166,6,1,10,小R,柔·阿松UR
"14156212792970",1044,1,4,1,非R,黑田官兵卫SR
"14156212792970",1070,1,4,1,非R,明智光秀SR
"14156212792970",1024,1,4,1,非R,长宗我部元亲SR
"14156212792970",1125,1,5,1,非R,勇·佐佐木小次郎SSR
"14156212792970",1093,1,4,1,非R,光·井伊直虎UR
"14156212792970",1305,1,1,1,非R,S33前田美津SSR+
"14156212792970",1041,2,5,7,非R,森兰丸SR
"14156212792970",1078,2,5,7,非R,柴田胜家SR
"14156212792970",1283,2,1,7,非R,S26畠山高政SSR+
"14156212792970",1028,2,5,7,非R,真田信幸SR
"14156212792970",1071,2,5,7,非R,石田三成SR
"14156212792970",1127,2,4,7,非R,谋·上杉谦信SSR+
"14156212792970",1047,2,5,7,非R,小早川隆景SR
"14156212792970",1073,2,5,7,非R,浓姬SR
"14156212792970",1077,2,5,7,非R,直江兼续SR
"14156212792970",1038,2,7,7,非R,本多忠胜SSR+
"15191299419632",1133,1,7,1,微R,勇·真田幸村SSR+
"15191299419632",1012,1,6,1,微R,阿市SSR+
"15191299419632",1016,1,5,1,微R,真田幸村SSR+
"15191299419632",1019,1,4,1,微R,宁宁SSR
"15191299419632",1032,1,3,1,微R,石田三成SSR
"15191299419632",1065,1,5,1,微R,小早川隆景SSR
"15191299419632",1015,1,5,1,微R,德川家康SSR+
"15191299419632",1132,2,7,8,微R,援·阿市SSR+
"15191299419632",1144,2,7,8,微R,援·阿国SSR+
"15191299419632",1052,4,4,10,微R,光·真田幸村UR
"13919989267488",1104,1,7,1,超R,TW鹤姬UR
"13919989267488",1297,1,5,1,超R,S31三之丸殿SSR+
"13919989267488",1312,2,2,3,超R,S35真田幸隆SSR+
"13919989267488",1314,4,2,4,超R,S36UR-武田信繁
"13919989267488",1311,6,7,5,超R,S35山本勘助UR
"13919989267488",1304,6,5,5,超R,S33前田庆次UR
"16140487271096",1311,1,0,1,非R,S35山本勘助UR
"16140487271096",1133,1,7,1,非R,勇·真田幸村SSR+
"16140487271096",1143,3,7,3,非R,勇·本多忠胜SSR+
"16140487271096",1052,4,2,4,非R,光·真田幸村UR
"14645838903238",1202,1,4,1,微R,S11太原雪斋UR
"14645838903238",1040,1,4,1,微R,阿国SSR+
"14645838903238",1144,1,4,1,微R,援·阿国SSR+
"14645838903238",1009,2,6,4,微R,丰臣秀吉SSR+
"14645838903238",1053,3,1,5,微R,光·伊达政宗UR
"14645838903238",1164,4,2,6,微R,柔·立花訚千代UR
"14645838903238",1015,4,7,6,微R,德川家康SSR+
"14645838903238",1166,5,1,8,微R,柔·阿松UR
"14645838903238",1165,6,1,9,微R,柔·井伊直虎UR
"14645838903238",1152,6,1,9,微R,刚·德川家康UR
"16879221718320",1158,3,3,1,非R,刚·上杉谦信UR
"16879221718320",1012,4,3,2,非R,阿市SSR+
"14362370894097",1019,1,5,1,非R,宁宁SSR
"14362370894097",1215,1,1,1,非R,S14濑名姬SSR+
"14362370894097",1038,1,5,1,非R,本多忠胜SSR+
"14362370894097",1012,2,3,4,非R,阿市SSR+
"14362370894097",1171,2,5,4,非R,谋·黑田官兵卫SSR+
"14362370894097",1152,2,4,4,非R,刚·德川家康UR
"17407502510674",1171,1,5,1,非R,谋·黑田官兵卫SSR+
"17407502510674",1018,1,3,1,非R,上杉谦信SSR+
"17407502510674",1059,1,3,1,非R,光·上杉谦信UR
"17407502510674",1050,1,0,1,非R,暗·织田信长UR
"17407502510674",1015,1,3,1,非R,德川家康SSR+
"15917149243145",1121,1,4,1,非R,谋·织田信长SSR+
"15917149243145",1015,1,2,1,非R,德川家康SSR+
"15917149243145",1045,1,5,1,非R,足利义辉SSR
"15917149243145",1144,1,4,1,非R,援·阿国SSR+
"15917149243145",1152,2,3,5,非R,刚·德川家康UR
"15917149243145",1132,4,7,6,非R,援·阿市SSR+
"14843407248027",1311,1,0,1,非R,S35山本勘助UR
"14843407248027",1014,1,5,1,非R,立花訚千代SSR
"14843407248027",1132,1,7,1,非R,援·阿市SSR+
"14843407248027",1012,1,7,1,非R,阿市SSR+
"14843407248027",1143,1,6,1,非R,勇·本多忠胜SSR+
"14843407248027",1058,1,0,1,非R,光·丰臣秀吉UR
"14843407248027",1153,2,1,7,非R,刚·真田幸村UR
"14843407248027",1312,3,0,8,非R,S35真田幸隆SSR+
"14843407248027",1038,4,5,9,非R,本多忠胜SSR+
"17441862444604",1153,1,1,1,非R,刚·真田幸村UR
"17441862444604",1008,1,2,1,非R,织田信长SSR+
"17441862444604",1009,1,2,1,非R,丰臣秀吉SSR+
"17441862444604",1171,1,4,1,非R,谋·黑田官兵卫SSR+
"17441862444604",1018,1,1,1,非R,上杉谦信SSR+
"17441862444604",1113,1,0,1,非R,S4服部半藏UR
"17441862444604",1166,2,1,7,非R,柔·阿松UR
"16131897506664",1297,1,5,1,非R,S31三之丸殿SSR+
"16131897506664",1309,2,1,2,非R,S34织田冬姬SSR+
"16131897506664",1104,3,0,3,非R,TW鹤姬UR
"16131897506664",1152,6,4,4,非R,刚·德川家康UR
"16621523746360",1075,1,4,1,非R,今川义元SR
"16621523746360",1152,1,2,1,非R,刚·德川家康UR
"16621523746360",1122,1,6,1,非R,援·丰臣秀吉SSR+
"16621523746360",1134,2,4,4,非R,谋·德川家康SSR+
"16621523746360",1061,2,4,4,非R,茶茶SSR
"16621523746360",1012,3,5,6,非R,阿市SSR+
"16621523746360",1166,4,1,7,非R,柔·阿松UR
"16716013193349",1013,1,5,1,微R,阿松SSR
"16716013193349",1014,1,4,1,微R,立花訚千代SSR
"16716013193349",1141,1,5,1,微R,柔·望月千代女UR
"16716013193349",1012,1,5,1,微R,阿市SSR+
"16716013193349",1127,1,4,1,微R,谋·上杉谦信SSR+
"16716013193349",1008,1,7,1,微R,织田信长SSR+
"16716013193349",1032,1,5,1,微R,石田三成SSR
"16716013193349",1022,1,5,1,微R,武田信玄SSR
"16716013193349",1163,2,3,9,微R,柔·宁宁UR
"16716013193349",1132,2,7,9,微R,援·阿市SSR+
"16716013193349",1299,2,2,9,微R,联动-望月千代女UR
"16716013193349",1169,2,5,9,微R,勇·前田利家SSR+
"16716013193349",1016,2,3,9,微R,真田幸村SSR+
"16716013193349",1046,3,5,14,微R,今川义元SSR
"16716013193349",1063,3,5,14,微R,森兰丸SSR
"16716013193349",1053,4,2,16,微R,光·伊达政宗UR
"16716013193349",1152,4,4,16,微R,刚·德川家康UR
"16716013193349",1294,6,1,18,微R,联动-吕布UR
"16716013193349",1166,6,1,18,微R,柔·阿松UR
"16716013193349",1162,6,1,18,微R,柔·浓姬UR
"15431817646145",1144,1,2,1,非R,援·阿国SSR+
"15431817646145",1010,1,4,1,非R,宫本武藏SSR
"15431817646145",1171,2,4,3,非R,谋·黑田官兵卫SSR+
"15431817646145",1170,3,5,4,非R,谋·竹中半兵卫SSR+
"15431817646145",1166,3,1,4,非R,柔·阿松UR
"14727443019794",1013,1,5,1,非R,阿松SSR
"14727443019794",1171,2,1,2,非R,谋·黑田官兵卫SSR+
"14727443019794",1063,4,4,3,非R,森兰丸SSR
"15251429034800",1016,1,4,1,微R,真田幸村SSR+
"15251429034800",1294,1,2,1,微R,联动-吕布UR
"15251429034800",1169,1,6,1,微R,勇·前田利家SSR+
"15251429034800",1009,2,4,4,微R,丰臣秀吉SSR+
"15251429034800",1304,3,1,5,微R,S33前田庆次UR
"15251429034800",1295,3,2,5,微R,耀 德川家康UR
"15251429034800",1165,3,1,5,微R,柔·井伊直虎UR
"15251429034800",1144,4,5,8,微R,援·阿国SSR+
"16780437432798",1169,1,4,1,非R,勇·前田利家SSR+
"16780437432798",1018,1,2,1,非R,上杉谦信SSR+
"16780437432798",1122,1,4,1,非R,援·丰臣秀吉SSR+
"16780437432798",1027,1,4,1,非R,毛利元就SSR
"16780437432798",1170,1,2,1,非R,谋·竹中半兵卫SSR+
"16780437432798",1133,2,3,6,非R,勇·真田幸村SSR+
"16780437432798",1040,5,2,7,非R,阿国SSR+
"13821205210656",1121,1,6,1,非R,谋·织田信长SSR+
"13821205210656",1130,1,4,1,非R,坚·武田信玄SSR
"13821205210656",1039,1,1,1,非R,柴田胜家SSR
"13821205210656",1170,1,3,1,非R,谋·竹中半兵卫SSR+
"13821205210656",1139,1,5,1,非R,勇·浅井长政SSR
"13821205210656",1145,2,5,6,非R,勇·足利义辉SSR
"13821205210656",1050,2,1,6,非R,暗·织田信长UR
"13821205210656",1312,2,1,6,非R,S35真田幸隆SSR+
"13821205210656",1021,2,1,6,非R,伊达政宗SSR
"13821205210656",1062,2,1,6,非R,立花宗茂SSR
"13821205210656",1166,3,1,11,非R,柔·阿松UR
"13821205210656",1018,3,2,11,非R,上杉谦信SSR+
"13821205210656",1168,3,2,11,非R,勇·阿江SSR
"13821205210656",1038,3,5,11,非R,本多忠胜SSR+
"13821205210656",1063,4,2,15,非R,森兰丸SSR
"15208479378291",1144,2,5,1,中R,援·阿国SSR+
"15208479378291",1016,2,6,1,中R,真田幸村SSR+
"15208479378291",1032,2,3,1,中R,石田三成SSR
"15208479378291",1171,2,5,1,中R,谋·黑田官兵卫SSR+
"15208479378291",1027,4,4,5,中R,毛利元就SSR
"15208479378291",1170,9,5,6,中R,谋·竹中半兵卫SSR+
"17222819132286",1295,2,1,1,中R,耀 德川家康UR
"17222819132286",1162,2,1,1,中R,柔·浓姬UR
"17222819132286",1011,2,5,1,中R,望月千代女SR
"17222819132286",1197,2,1,1,中R,刚·毛利元就UR
"17222819132286",1166,2,1,1,中R,柔·阿松UR
"17222819132286",1164,2,1,1,中R,柔·立花訚千代UR
"17222819132286",1144,2,6,1,中R,援·阿国SSR+
"17222819132286",1009,3,4,8,中R,丰臣秀吉SSR+
"17222819132286",1170,3,5,8,中R,谋·竹中半兵卫SSR+
"17222819132286",1211,3,3,8,中R,刚·最上义光UR
"17222819132286",1312,4,1,11,中R,S35真田幸隆SSR+
"17222819132286",1018,5,5,12,中R,上杉谦信SSR+
"16346645830701",1211,1,6,1,中R,刚·最上义光UR
"16346645830701",1009,1,5,1,中R,丰臣秀吉SSR+
"16346645830701",1034,2,4,3,中R,岛左近SR
"16346645830701",1077,2,4,3,中R,直江兼续SR
"16346645830701",1167,3,1,5,中R,刚·岛津义久UR
"16346645830701",1053,3,3,5,中R,光·伊达政宗UR
"16346645830701",1313,4,2,7,中R,UR-佐竹义重
"16346645830701",1169,4,4,7,中R,勇·前田利家SSR+
"17132624707093",1012,1,5,1,非R,阿市SSR+
"17132624707093",1152,1,5,1,非R,刚·德川家康UR
"17132624707093",1132,1,6,1,非R,援·阿市SSR+
"17132624707093",1040,2,6,4,非R,阿国SSR+
"13473312724305",1079,1,4,1,非R,阿江SR
"13473312724305",1028,2,5,2,非R,真田信幸SR
"13473312724305",1022,3,1,3,非R,武田信玄SSR
"13473312724305",1012,3,2,3,非R,阿市SSR+
"16299401055267",1020,1,0,1,非R,浓姬SSR
"16299401055267",1126,1,5,1,非R,谋·浓姬SSR
"16299401055267",1118,1,3,1,非R,援·阿松SSR
"16299401055267",1123,1,5,1,非R,勇·宫本武藏SSR
"16299401055267",1027,3,2,5,非R,毛利元就SSR
"15822659928204",1022,1,4,1,非R,武田信玄SSR
"15822659928204",1062,1,2,1,非R,立花宗茂SSR
"15822659928204",1132,1,7,1,非R,援·阿市SSR+
"15822659928204",1166,2,1,4,非R,柔·阿松UR
"15822659928204",1121,2,6,4,非R,谋·织田信长SSR+
"15822659928204",1032,2,1,4,非R,石田三成SSR
"15822659928204",1122,2,3,4,非R,援·丰臣秀吉SSR+
"15822659928204",1016,2,1,4,非R,真田幸村SSR+
"15758235199155",1287,1,7,1,超R,S28柿崎景家UR
"15758235199155",1311,3,3,2,超R,S35山本勘助UR
"15758235199155",1310,3,1,2,超R,"2025元旦足利义辉"
"15758235199155",1304,5,5,4,超R,S33前田庆次UR
"15758235199155",1302,5,7,4,超R,联动-宫本武藏UR
"15758235199155",1314,6,2,6,超R,S36UR-武田信繁
"15758235199155",1312,9,4,7,超R,S35真田幸隆SSR+
"15758235199155",1274,11,4,8,超R,S23岛津岁久SSR+
"14860587168567",1014,1,4,1,非R,立花訚千代SSR
"14860587168567",1113,1,0,1,非R,S4服部半藏UR
"14860587168567",1012,1,7,1,非R,阿市SSR+
"14860587168567",1040,1,1,1,非R,阿国SSR+
"14860587168567",1144,2,5,5,非R,援·阿国SSR+
"14860587168567",1015,3,3,6,非R,德川家康SSR+
"14860587168567",1132,3,4,6,非R,援·阿市SSR+
"14980846051833",1127,3,2,1,非R,谋·上杉谦信SSR+
"15899969190613",1093,2,6,1,非R,光·井伊直虎UR
"15899969190613",1015,3,5,2,非R,德川家康SSR+
"15899969190613",1134,3,7,2,非R,谋·德川家康SSR+
"15899969190613",1152,4,5,4,非R,刚·德川家康UR
"13340168891304",1122,1,2,1,非R,援·丰臣秀吉SSR+
"13340168891304",1135,1,5,1,非R,谋·明智光秀SSR
"13340168891304",1016,1,2,1,非R,真田幸村SSR+
"13340168891304",1042,2,3,4,非R,浅井长政SSR
"14723148345714",1122,1,4,1,非R,援·丰臣秀吉SSR+
"14723148345714",1062,1,1,1,非R,立花宗茂SSR
"14723148345714",1012,1,5,1,非R,阿市SSR+
"14723148345714",1133,2,7,4,非R,勇·真田幸村SSR+
"14723148345714",1009,2,5,4,非R,丰臣秀吉SSR+
"14723148345714",1144,3,3,6,非R,援·阿国SSR+
"14723148345714",1015,3,6,6,非R,德川家康SSR+
"16943646121659",1065,1,5,1,非R,小早川隆景SSR
