map_id,map_type,map_cn
36053,雷达,雷达第53关
36054,雷达,雷达第54关
36055,雷达,雷达第55关
36056,雷达,雷达第56关
36057,雷达,雷达第57关
36058,雷达,雷达第58关
36059,雷达,雷达第59关
36060,雷达,雷达第60关
36061,雷达,雷达第61关
36062,雷达,雷达第62关
36063,雷达,雷达第63关
36064,雷达,雷达第64关
36065,雷达,雷达第65关
36066,雷达,雷达第66关
36067,雷达,雷达第67关
36068,雷达,雷达第68关
36069,雷达,雷达第69关
36070,雷达,雷达第70关
36071,雷达,雷达第71关
36072,雷达,雷达第72关
36073,雷达,雷达第73关
36074,雷达,雷达第74关
36075,雷达,雷达第75关
36076,雷达,雷达第76关
36077,雷达,雷达第77关
36078,雷达,雷达第78关
36079,雷达,雷达第79关
36080,雷达,雷达第80关
36081,雷达,雷达第81关
36082,雷达,雷达第82关
36083,雷达,雷达第83关
36084,雷达,雷达第84关
36085,雷达,雷达第85关
36086,雷达,雷达第86关
36087,雷达,雷达第87关
36088,雷达,雷达第88关
36089,雷达,雷达第89关
36090,雷达,雷达第90关
36091,雷达,雷达第91关
36092,雷达,雷达第92关
36093,雷达,雷达第93关
36094,雷达,雷达第94关
36095,雷达,雷达第95关
36096,雷达,雷达第96关
36097,雷达,雷达第97关
36098,雷达,雷达第98关
36099,雷达,雷达第99关
36100,雷达,雷达第100关
