step_id,group_id,is_compulsory,step_rn,step_name
city_unlock_15_0_1,city_unlock,1,77,提前移动镜头
city_unlock_15_0_2,city_unlock,1,78,重置玩家位置
city_unlock_15_1,city_unlock,1,79,保险等待界面打开
city_unlock_16,city_unlock,1,80,假断开等待玩家关闭弹窗
city_unlock_17_1,city_unlock,1,81,看向马上的雅米拉
city_unlock_17_2,city_unlock,1,82,玩家移动动画
city_unlock_17_3,city_unlock,1,83,等待2秒
city_unlock_17_4,city_unlock,1,84,看向马上的雅米拉镜头拉近
city_unlock_17_5,city_unlock,1,85,等待1秒
city_unlock_18,city_unlock,1,86,对话
city_unlock_19,city_unlock,1,87,镜头抬高
city_unlock_20,city_unlock,1,88,雅米拉移动动画
city_unlock_21,city_unlock,1,89,对话气泡
city_unlock_22,city_unlock,1,90,看向关口
city_unlock_23,city_unlock,1,91,对话
city_unlock_24,city_unlock,1,92,镜头归位
city_unlock_25,city_unlock,1,93,等待1秒
city_unlock_26,city_unlock,1,94,点击怪物
city_unlock_27,city_unlock,1,95,销毁动画
city_unlock_28,city_unlock,1,96,销毁动画
rescue_yamila_00_00,rescue_yamila_00,1,97,保险等待界面打开
rescue_yamila_00_01,rescue_yamila_00,1,98,假断开等待玩家关闭弹窗
rescue_yamila_00_02,rescue_yamila_00,1,99,对话
rescue_yamila_00_03,rescue_yamila_00,1,100,雅米拉弹窗
rescue_yamila_00_03_1,rescue_yamila_00,1,101,等待1秒
rescue_yamila_00_04,rescue_yamila_00,1,102,假断开等待玩家关闭弹窗
rescue_yamila_00_05_1,rescue_yamila_00,1,103,打开界面
rescue_yamila_00_05_2,rescue_yamila_00,1,104,光点飞行特效
rescue_yamila_00_05_3,rescue_yamila_00,1,105,等待2秒
rescue_yamila_00_05_4,rescue_yamila_00,1,106,关闭界面
rescue_yamila_00_07,rescue_yamila_00,1,107,点击任务界面
rescue_yamila_00_08,rescue_yamila_00,1,108,对话
rescue_yamila_00_09,rescue_yamila_00,1,109,点击转跳
guard_upgrade_01,guard_upgrade,1,110,第一次进入英雄界面触发，引导亲兵升级
guard_upgrade_02,guard_upgrade,1,111,对话
guard_upgrade_03,guard_upgrade,1,112,点击士兵升阶界面
chapter_02_00,chapter_02,1,113,保险等待界面打开
chapter_02_01,chapter_02,1,114,假断开等待玩家关闭弹窗
chapter_02_02,chapter_02,1,115,关闭所有界面
chapter_02_03,chapter_02,1,116,第2章过场
chapter_02_04,chapter_02,1,117,假断开等待玩家关闭弹窗
chapter_02_04_01,chapter_02,1,118,确保玩家处于内城
chapter_02_04_02,chapter_02,1,119,看向雅米拉
chapter_02_04_03,chapter_02,1,120,雅米拉移动动画
chapter_02_04_04,chapter_02,1,121,对话气泡
chapter_02_04_05,chapter_02,1,122,摄像机跟随
chapter_02_04_06,chapter_02,1,123,对话
chapter_02_05,chapter_02,1,124,看向第二个怪物
chapter_02_06,chapter_02,1,125,对话
chapter_02_07,chapter_02,1,126,点击怪物
qk01_04_battle_01,qk01_04_battle,1,127,等待1秒
qk01_04_battle_02,qk01_04_battle,1,128,暂停A玩法
qk01_04_battle_03,qk01_04_battle,1,129,关卡内对话
qk01_04_battle_04,qk01_04_battle,1,130,点击释放技能
qk01_04_battle_05,qk01_04_battle,1,131,解除暂停A玩法
zone_006_click_01,zone_006_click,1,132,保险等待界面打开
zone_006_click_02,zone_006_click,1,133,假断开等待玩家关闭弹窗
zone_006_click_03,zone_006_click,1,134,关闭所有界面
zone_006_click_04,zone_006_click,1,135,看向下一个事件
zone_006_click_05,zone_006_click,1,136,点击占领区域
zone_006_click_06,zone_006_click,1,137,占领酒馆区域后触发，等待动画2秒
zone_006_click_07,zone_006_click,1,138,看向下一个事件
zone_006_click_08,zone_006_click,1,139,点击修复酒馆
public_house_01,public_house,1,140,假断开等待玩家关闭弹窗
public_house_02,public_house,1,141,对话
public_house_02_1,public_house,1,142,看向下一个事件
public_house_03,public_house,1,143,点击酒馆
public_house_04,public_house,1,144,引导点击环形菜单入口
public_house_05,public_house,1,145,引导点击单抽
public_house_06,public_house,1,146,假断开等待玩家关闭酒馆界面
public_house_07,public_house,1,147,对话
chapter_03_00,chapter_03,1,148,保险等待界面打开
chapter_03_01,chapter_03,1,149,假断开等待玩家关闭弹窗
chapter_03_02,chapter_03,1,150,关闭所有界面
chapter_03_03,chapter_03,1,151,第3章过场
chapter_03_04,chapter_03,1,152,假断开等待玩家关闭弹窗
chapter_03_04_1,chapter_03,1,153,确保玩家处于内城
chapter_03_04_2,chapter_03,1,154,对话
chapter_03_05,chapter_03,1,155,看向纷争的敌人
chapter_03_06,chapter_03,1,156,对话
chapter_03_07,chapter_03,1,157,点击英雄入口
chapter_03_08,chapter_03,1,158,选择英雄
chapter_03_09,chapter_03,1,159,点击亲兵按钮
chapter_03_10,chapter_03,1,160,点击一键上阵按钮
chapter_03_11,chapter_03,1,161,点击确定
chapter_03_12,chapter_03,1,162,关闭界面
chapter_03_13,chapter_03,1,163,点击怪物
chapter_03_13_1,chapter_03,1,164,保险等待界面打开
chapter_03_13_2,chapter_03,1,165,对话
chapter_03_14,chapter_03,1,166,点击孔位
chapter_03_15,chapter_03,1,167,选择英雄1
chapter_03_16,chapter_03,1,168,点击孔位
chapter_03_17,chapter_03,1,169,选择英雄2
chapter_03_18,chapter_03,1,170,关闭英雄栏
chapter_03_19,chapter_03,1,171,开始战斗
lordequip_01,lordequip,1,172,保险等待界面打开
lordequip_02,lordequip,1,173,假断开等待玩家关闭弹窗
lordequip_03,lordequip,1,174,对话
lordequip_04,lordequip,1,175,点击领主入口
lordequip_05,lordequip,1,176,点击装备
lordequip_06,lordequip,1,177,点击强化
lordequip_07,lordequip,1,178,点击强化按钮
lordequip_08,lordequip,1,179,对话
zone_007_occupied_01,zone_007_occupied,1,180,占领阅兵场后触发，等待动画2秒
zone_007_occupied_02,zone_007_occupied,1,181,对话
zone_007_occupied_03,zone_007_occupied,1,182,前往大地图
zone_007_occupied_03_0,zone_007_occupied,1,183,等待2秒
zone_007_occupied_03_1,zone_007_occupied,1,184,对话
zone_007_occupied_04,zone_007_occupied,1,185,寻找最近得中立城
zone_007_occupied_05,zone_007_occupied,1,186,点击城市
zone_007_occupied_06,zone_007_occupied,1,187,点击招募按钮
zone_007_occupied_07,zone_007_occupied,1,188,点击士兵头像
zone_007_occupied_08,zone_007_occupied,1,189,点击招募
zone_007_occupied_09,zone_007_occupied,1,190,等待2秒
zone_007_occupied_10,zone_007_occupied,1,191,返回内城
zone_007_occupied_11,zone_007_occupied,1,192,确保玩家处于内城
zone_007_occupied_12,zone_007_occupied,1,193,看向阅兵场
zone_007_occupied_13,zone_007_occupied,1,194,点击气泡收取
zone_007_occupied_14,zone_007_occupied,1,195,对话
rescue_yamila_02_01,rescue_yamila_02,1,196,保险等待界面打开
rescue_yamila_02_02,rescue_yamila_02,1,197,假断开等待玩家关闭弹窗
rescue_yamila_02_03,rescue_yamila_02,1,198,确保玩家处于内城
rescue_yamila_02_04,rescue_yamila_02,1,199,看向雅米拉
rescue_yamila_02_05,rescue_yamila_02,1,200,雅米拉移动动画
rescue_yamila_02_06,rescue_yamila_02,1,201,对话气泡
rescue_yamila_02_07,rescue_yamila_02,1,202,摄像机跟随
rescue_yamila_02_08,rescue_yamila_02,1,203,对话
build_speedup_01,build_speedup,1,204,主堡3升4，等待1秒开始引导
build_speedup_02,build_speedup,1,205,对话
build_speedup_03,build_speedup,1,206,看向主城
build_speedup_04,build_speedup,1,207,点击主城
build_speedup_05,build_speedup,1,208,引导点击环形菜单入口
build_speedup_06,build_speedup,1,209,引导点击一键加速
build_speedup_07,build_speedup,1,210,引导点击确认
chapter_04_00,chapter_04,1,211,保险等待界面打开
chapter_04_01,chapter_04,1,212,假断开等待玩家关闭弹窗
chapter_04_02,chapter_04,1,213,关闭所有界面
chapter_04_03,chapter_04,1,214,第4章过场
chapter_04_04,chapter_04,1,215,假断开等待玩家关闭弹窗
chapter_04_04_1,chapter_04,1,216,确保玩家处于内城
chapter_04_05,chapter_04,1,217,看向下一个事件
chapter_04_06,chapter_04,1,218,点击怪物
dragon_story01_00,dragon_story01,1,219,保险等待界面打开
dragon_story01_01,dragon_story01,1,220,假断开等待玩家关闭弹窗
dragon_story01_02,dragon_story01,1,221,对话
dragon_story01_03,dragon_story01,1,222,看向鬼鬼祟祟的敌人
dragon_story01_04,dragon_story01,1,223,等待2秒
dragon_story01_05,dragon_story01,1,224,对话
radar_01,radar,1,225,占领雷达后触发，等待动画2秒
radar_02,radar,1,226,对话
radar_02_1,radar,1,227,看向雷达
radar_03,radar,1,228,点击雷达气泡
radar_04,radar,1,229,引导点击事件图标
radar_05,radar,1,230,引导点击前往按钮
radar_06,radar,1,231,引导点击战斗
radar_07,radar,1,232,引导点击出征
radar_08,radar,1,233,等待2秒
radar_09,radar,1,234,返回内城
stables_00,stables,1,235,保险等待界面打开
stables_01,stables,1,236,主堡5级，假断开等待玩家关闭弹窗
stables_02,stables,1,237,对话
stables_03,stables,1,238,点击建造按钮
stables_04,stables,1,239,点击骑兵建筑
stables_05,stables,1,240,引导点击环形菜单入口
stables_06,stables,1,241,等待4秒
stables_07,stables,1,242,点击骑兵营
stables_08,stables,1,243,保险等待界面打开
stables_09,stables,1,244,假断开等待玩家关闭弹窗
stables_10,stables,1,245,点击骑兵营
stables_11,stables,1,246,点击环形菜单
stables_12,stables,1,247,点击训练按钮
stables_13,stables,1,248,点击加速按钮
stables_14,stables,1,249,引导点击一键加速
stables_15,stables,1,250,引导点击确认
chapter_05_00,chapter_05,1,251,保险等待界面打开
chapter_05_01,chapter_05,1,252,假断开等待玩家关闭弹窗
chapter_05_02,chapter_05,1,253,关闭所有界面
chapter_05_03,chapter_05,1,254,第5章过场
chapter_05_04,chapter_05,1,255,假断开等待玩家关闭弹窗
chapter_05_04_1,chapter_05,1,256,确保玩家处于内城
chapter_05_05,chapter_05,1,257,看向下一个事件
chapter_05_06,chapter_05,1,258,对话
chapter_05_07,chapter_05,1,259,点击怪物
zone_009_occupied_01,zone_009_occupied,1,260,占领龙蛋区域后触发，等待动画2秒
zone_009_occupied_02,zone_009_occupied,1,261,占领龙蛋区域后触发，等待动画2秒
zone_009_occupied_03,zone_009_occupied,1,262,看向区域
zone_009_occupied_04,zone_009_occupied,1,263,对话
chapter_06_00,chapter_06,1,264,保险等待界面打开
chapter_06_01,chapter_06,1,265,假断开等待玩家关闭弹窗
chapter_06_02,chapter_06,1,266,关闭所有界面
chapter_06_03,chapter_06,1,267,第六章过场
chapter_06_04,chapter_06,1,268,假断开等待玩家关闭弹窗
chapter_06_04_1,chapter_06,1,269,确保玩家处于内城
chapter_06_05,chapter_06,1,270,对话
chapter_06_06,chapter_06,1,271,看向下一个事件
chapter_06_07,chapter_06,1,272,点击怪物
rescue_yamila_03_00_1,rescue_yamila_03,1,273,保险等待界面打开
rescue_yamila_03_00_2,rescue_yamila_03,1,274,假断开等待玩家关闭弹窗
rescue_yamila_03_01,rescue_yamila_03,1,275,保险等待界面打开
rescue_yamila_03_02,rescue_yamila_03,1,276,假断开等待玩家关闭弹窗
rescue_yamila_03_03,rescue_yamila_03,1,277,对话
rescue_yamila_03_04,rescue_yamila_03,1,278,重置玩家位置
rescue_yamila_03_05,rescue_yamila_03,1,279,看向事件
rescue_yamila_03_06,rescue_yamila_03,1,280,点击对话事件
rescue_yamila_03_07,rescue_yamila_03,1,281,保险等待界面打开
rescue_yamila_03_08,rescue_yamila_03,1,282,假断开等待玩家关闭弹窗
rescue_yamila_03_09,rescue_yamila_03,1,283,看向龙蛋
rescue_yamila_03_10,rescue_yamila_03,1,284,对话
university_01,university,1,285,等待2秒
university_02,university,1,286,对话
university_02_1,university,1,287,看向龙蛋
university_03,university,1,288,点击研究院
university_04,university,1,289,引导点击环形菜单入口
university_05,university,1,290,引导点击科技树
university_06,university,1,291,引导点击科技
university_07,university,1,292,引导点击研究
university_08,university,1,293,引导点击完成
chapter_07_01,chapter_07,1,294,保险等待界面打开
chapter_07_02,chapter_07,1,295,假断开等待玩家关闭弹窗
chapter_07_03,chapter_07,1,296,关闭所有界面
chapter_07_04,chapter_07,1,297,第7章过场
chapter_07_05,chapter_07,1,298,假断开等待玩家关闭弹窗
chapter_07_06,chapter_07,1,299,确保玩家处于内城
chapter_07_07,chapter_07,1,300,看向龙蛋
chapter_07_08,chapter_07,1,301,对话
chapter_07_09,chapter_07,1,302,点击龙蛋进行升级
chapter_07_09_0,chapter_07,1,303,等待2秒
chapter_07_09_1,chapter_07,1,304,龙蛋跳过收取
chapter_07_10,chapter_07,1,305,对话
chapter_07_11,chapter_07,1,306,看向下一个事件
chapter_07_12,chapter_07,1,307,对话
chapter_07_13,chapter_07,1,308,点击怪物
bandit_camp_01,bandit_camp,1,309,保险等待界面打开
bandit_camp_02,bandit_camp,1,310,主堡8级，假断开等待玩家关闭弹窗
bandit_camp_03,bandit_camp,1,311,对话
bandit_camp_04,bandit_camp,1,312,前往大地图
bandit_camp_05,bandit_camp,1,313,等待2秒
bandit_camp_06,bandit_camp,1,314,引导入口
bandit_camp_07,bandit_camp,1,315,点击强盗营地
bandit_camp_08,bandit_camp,1,316,点击搜索
dragon_power_01_01,dragon_power_01,1,317,保险等待界面打开
dragon_power_01_02,dragon_power_01,1,318,假断开等待玩家关闭弹窗
dragon_power_01_03,dragon_power_01,1,319,对话
dragon_power_01_04,dragon_power_01,1,320,看向城墙
dragon_power_01_05,dragon_power_01,1,321,播放动画
dragon_power_01_06,dragon_power_01,1,322,看动画10秒
dragon_power_01_06_1,dragon_power_01,1,323,对话
dragon_power_01_07,dragon_power_01,1,324,看向龙蛋
dragon_power_01_08,dragon_power_01,1,325,等待1秒
dragon_power_01_09,dragon_power_01,1,326,对话
dragon_power_01_10,dragon_power_01,1,327,看向攻城点1
dragon_power_01_11,dragon_power_01,1,328,看向攻城点2
dragon_power_01_12,dragon_power_01,1,329,看向攻城点3
dragon_power_01_13,dragon_power_01,1,330,看向攻城点4
dragon_power_01_14,dragon_power_01,1,331,对话
dragon_power_01_15,dragon_power_01,1,332,看向怪物
dragon_power_01_16,dragon_power_01,1,333,点击下一个事件
dragon_story02_01,dragon_story02,1,334,保险等待界面打开
dragon_story02_02,dragon_story02,1,335,假断开等待玩家关闭弹窗
dragon_story02_03,dragon_story02,1,336,看向投石机
dragon_story02_04,dragon_story02,1,337,对话
dragon_story02_05,dragon_story02,1,338,龙弹窗
dragon_story02_05_1,dragon_story02,1,339,等待1秒
dragon_story02_06,dragon_story02,1,340,假断开等待玩家关闭弹窗
dragon_story02_07,dragon_story02,1,341,打开界面
dragon_story02_08,dragon_story02,1,342,光点飞行特效
dragon_story02_09,dragon_story02,1,343,等待2秒
dragon_story02_10,dragon_story02,1,344,关闭界面
chapter_08_01,chapter_08,1,345,保险等待界面打开
chapter_08_02,chapter_08,1,346,假断开等待玩家关闭弹窗
chapter_08_03,chapter_08,1,347,关闭所有界面
chapter_08_04,chapter_08,1,348,第8章过场
chapter_09_01,chapter_09,1,349,保险等待界面打开
chapter_09_02,chapter_09,1,350,假断开等待玩家关闭弹窗
chapter_09_03,chapter_09,1,351,关闭所有界面
chapter_09_04,chapter_09,1,352,第9章过场
chapter_10_01,chapter_10,1,353,保险等待界面打开
chapter_10_02,chapter_10,1,354,假断开等待玩家关闭弹窗
chapter_10_03,chapter_10,1,355,关闭所有界面
chapter_10_04,chapter_10,1,356,第10章过场
chapter_11_01,chapter_11,1,357,保险等待界面打开
chapter_11_02,chapter_11,1,358,假断开等待玩家关闭弹窗
chapter_11_03,chapter_11,1,359,关闭所有界面
chapter_11_04,chapter_11,1,360,第11章过场
dragon_power_02_01,dragon_power_02,1,361,保险等待界面打开
dragon_power_02_02,dragon_power_02,1,362,假断开等待玩家关闭弹窗
dragon_power_02_03,dragon_power_02,1,363,对话
dragon_power_02_04,dragon_power_02,1,364,看向敌人投石车
dragon_power_02_05,dragon_power_02,1,365,播放动画
dragon_power_02_06,dragon_power_02,1,366,看动画10秒
dragon_power_02_07,dragon_power_02,1,367,对话
dragon_power_02_08,dragon_power_02,1,368,看向龙蛋
dragon_power_02_09,dragon_power_02,1,369,对话
chapter_12_01,chapter_12,1,370,保险等待界面打开
chapter_12_02,chapter_12,1,371,假断开等待玩家关闭弹窗
chapter_12_03,chapter_12,1,372,关闭所有界面
chapter_12_04,chapter_12,1,373,第12章过场
dragon_power_03_01,dragon_power_03,1,374,保险等待界面打开
dragon_power_03_02,dragon_power_03,1,375,假断开等待玩家关闭弹窗
dragon_power_03_03,dragon_power_03,1,376,对话
dragon_power_03_04,dragon_power_03,1,377,看向怪物
dragon_power_03_05,dragon_power_03,1,378,点击下一个事件
dragon_power_03_06,dragon_power_03,1,379,保险等待界面打开
dragon_power_03_07,dragon_power_03,1,380,对话
dragon_power_03_08,dragon_power_03,1,381,点击孔位
dragon_power_03_09,dragon_power_03,1,382,选择龙
dragon_power_03_10,dragon_power_03,1,383,关闭英雄栏
dragon_power_03_11,dragon_power_03,1,384,开始战斗
