"part_date","date","month","payment_itemid","payment_cate","payment_name","dau","pay_dau","pay_user","pay_count","pay_user_first","dau_cate","pay_dau_cate","pay_user_cate","pay_count_cate","pay_user_first_cate"
"2024-12-01",2024-12-01,2024-12-01,gold_60003,情人节活动,"2024情人节信物礼包3",2393,148,15,32,8,,,,,
"2025-02-10",2025-02-10,2025-02-01,gold_80002,月卡,资源月卡-9.99美元,2292,116,12,12,7,2292,116,21,27,20
"2024-12-01",2024-12-01,2024-12-01,gold_60002,情人节活动,"2024情人节信物礼包2",2393,148,21,56,4,,,,,
"2025-02-10",2025-02-10,2025-02-01,gold_10,月卡,"19.99-尊贵月卡",2292,116,7,7,6,,,,,
"2024-07-04",2024-07-04,2024-07-01,gold_229,幸运屋,S31三之丸殿SSR+,2525,155,8,16,5,,,,,
"2025-03-08",2025-03-08,2025-03-01,gold_402,battlepass-周年庆,四周年通行证,2300,121,18,18,12,2300,121,18,18,12
"2024-12-01",2024-12-01,2024-12-01,gold_60004,情人节活动,"2024情人节信物礼包4",2393,148,1,1,0,,,,,
"2024-11-19",2024-11-19,2024-11-01,gold_90001,月度周储钱罐,月度周储钱罐,2381,160,21,21,15,2381,160,21,21,15
"2024-11-12",2024-11-12,2024-11-01,gold_50001,周期-日礼包,每日礼包-new-金币1,2397,125,2,2,2,2397,125,3,3,3
"2025-03-08",2025-03-08,2025-03-01,gold_318,"4周年庆典自选礼包","4周年庆典自选礼包1",2300,121,23,23,17,,,,,
"2024-06-19",2024-06-19,2024-06-01,gold_118,幸运屋,德川家康SSR+获得礼包,2507,128,1,1,0,,,,,
"2024-06-19",2024-06-19,2024-06-01,gold_135,幸运屋,全UR获得礼包,2507,128,2,3,1,,,,,
"2025-03-08",2025-03-08,2025-03-01,gold_319,"4周年庆典自选礼包","4周年庆典自选礼包2",2300,121,3,3,1,,,,,
"2024-06-19",2024-06-19,2024-06-01,gold_179,幸运屋,新-本多忠胜SSR+（力）,2507,128,1,1,1,,,,,
"2025-02-10",2025-02-10,2025-02-01,gold_9,月卡,"4.99-月卡",2292,116,8,8,7,,,,,
"2025-04-06",2025-04-06,2025-04-01,gold_401,battlepass,晋级征途,2252,126,9,9,7,2252,126,9,9,7
"2024-12-01",2024-12-01,2024-12-01,gold_414,情人节活动,"2024情人节史诗礼包19.99-600金币",2393,148,28,28,4,,,,,
"2024-06-19",2024-06-19,2024-06-01,gold_229,幸运屋,S31三之丸殿SSR+,2507,128,2,2,0,,,,,
"2024-11-12",2024-11-12,2024-11-01,gold_50003,周期-日礼包,每日礼包-new-金币3,2397,125,1,1,1,,,,,
"2024-06-19",2024-06-19,2024-06-01,gold_224,幸运屋,S27SSR+,2507,128,1,1,0,,,,,
"2025-01-19",2025-01-19,2025-01-01,gold_90003,月度活动,月度活跃-battlepass高级,2370,136,2,2,1,,,,,
"2025-01-22",2025-01-22,2025-01-01,gold_448,赛季征战活动,赛季整合礼包19.99-1200金币-2,2337,128,2,2,1,2337,128,2,2,1
"2025-02-06",2025-02-06,2025-02-01,gold_80002,月卡,资源月卡-9.99美元,2306,121,5,5,5,2306,121,18,22,14
"2024-12-23",2024-12-23,2024-12-01,gold_7,金币,"4.99-300金币",2347,159,1,1,0,2347,159,11,11,6
"2024-12-23",2024-12-23,2024-12-01,gold_5,金币,"99.99-6600金币@JPY",2347,159,1,1,0,,,,,
"2024-12-23",2024-12-23,2024-12-01,gold_3,金币,"19.99-1200金币",2347,159,4,4,3,,,,,
"2024-12-23",2024-12-23,2024-12-01,gold_8,金币,"0.99-30金币",2347,159,3,3,1,,,,,
"2024-12-23",2024-12-23,2024-12-01,gold_2,金币,"9.99-600金币",2347,159,1,1,1,,,,,
"2025-02-06",2025-02-06,2025-02-01,gold_10,月卡,"19.99-尊贵月卡",2306,121,6,6,3,,,,,
"2024-12-23",2024-12-23,2024-12-01,gold_4,金币,"49.99-3200金币",2347,159,1,1,1,,,,,
"2025-02-06",2025-02-06,2025-02-01,gold_9,月卡,"4.99-月卡",2306,121,11,11,6,,,,,
"2024-12-21",2024-12-21,2024-12-01,gold_68,荣耀特典,"648231",2366,112,1,1,1,2366,112,2,2,2
"2025-03-24",2025-03-24,2025-03-01,gold_50005,周期-日礼包,每日礼包-new-金币5,2257,127,1,1,0,2257,127,1,1,0
"2025-01-18",2025-01-18,2025-01-01,gold_232,幸运屋,S33前田美津SSR+,2396,114,14,20,3,2396,114,18,24,4
"2025-02-13",2025-02-13,2025-02-01,gold_40004,每日一键,一键购买,2303,122,24,24,17,2303,122,32,34,22
"2024-10-09",2024-10-09,2024-10-01,gold_50003,周期-日礼包,每日礼包-new-金币3,2470,186,4,4,0,2470,186,17,18,9
"2024-11-17",2024-11-17,2024-11-01,gold_200002,签到礼包,签到礼包2,2418,165,8,8,4,2418,165,32,43,24
"2025-01-18",2025-01-18,2025-01-01,gold_223,幸运屋,S26畠山高政SSR+,2396,114,1,1,0,,,,,
"2025-02-13",2025-02-13,2025-02-01,gold_40001,每日一键,一键购买日礼包-1,2303,122,7,7,3,,,,,
"2025-02-13",2025-02-13,2025-02-01,gold_40002,每日一键,一键购买日礼包-2,2303,122,3,3,2,,,,,
"2024-11-17",2024-11-17,2024-11-01,gold_200001,签到礼包,签到礼包1,2418,165,17,17,10,,,,,
"2024-10-09",2024-10-09,2024-10-01,gold_50019,周期-日礼包,每日礼包-养成5,2470,186,1,1,0,,,,,
"2024-11-17",2024-11-17,2024-11-01,gold_200003,签到礼包,签到礼包3,2418,165,10,10,4,,,,,
"2025-01-18",2025-01-18,2025-01-01,gold_229,幸运屋,S31三之丸殿SSR+,2396,114,1,1,0,,,,,
"2024-12-21",2024-12-21,2024-12-01,gold_66,荣耀特典,"128231",2366,112,1,1,1,,,,,
"2025-03-04",2025-03-04,2025-03-01,gold_90001,月度周储钱罐,月度周储钱罐,2266,115,20,20,14,2266,115,20,20,14
"2025-01-18",2025-01-18,2025-01-01,gold_133,幸运屋,足利义辉SSR,2396,114,1,1,1,,,,,
"2024-10-09",2024-10-09,2024-10-01,gold_50009,周期-日礼包,每日礼包-神器4,2470,186,1,1,0,,,,,
"2024-10-09",2024-10-09,2024-10-01,gold_50004,周期-日礼包,每日礼包-new-金币4,2470,186,2,2,1,,,,,
"2024-10-09",2024-10-09,2024-10-01,gold_50001,周期-日礼包,每日礼包-new-金币1,2470,186,8,8,7,,,,,
"2025-01-18",2025-01-18,2025-01-01,gold_209,幸运屋,S12本愿寺显如SSR+,2396,114,1,1,0,,,,,
"2024-10-09",2024-10-09,2024-10-01,gold_50005,周期-日礼包,每日礼包-new-金币5,2470,186,2,2,1,,,,,
"2024-11-17",2024-11-17,2024-11-01,gold_200004,签到礼包,签到礼包4,2418,165,8,8,6,,,,,
"2024-11-23",2024-11-23,2024-11-01,gold_8,金币,"0.99-30金币",2447,118,16,30,7,2447,118,34,80,19
"2024-11-23",2024-11-23,2024-11-01,gold_4,金币,"49.99-3200金币",2447,118,10,15,1,,,,,
"2025-02-17",2025-02-17,2025-02-01,gold_40004,每日一键,一键购买,2275,141,15,15,8,2275,141,23,23,13
"2025-02-17",2025-02-17,2025-02-01,gold_40002,每日一键,一键购买日礼包-2,2275,141,3,3,2,,,,,
"2024-11-23",2024-11-23,2024-11-01,gold_2,金币,"9.99-600金币",2447,118,8,9,1,,,,,
"2025-02-17",2025-02-17,2025-02-01,gold_40003,每日一键,一键购买日礼包-3,2275,141,1,1,1,,,,,
"2025-03-17",2025-03-17,2025-03-01,gold_83,新手礼包,七日新手礼包3new,2285,105,1,1,1,2285,105,1,1,1
"2024-11-23",2024-11-23,2024-11-01,gold_3,金币,"19.99-1200金币",2447,118,7,7,3,,,,,
"2025-02-17",2025-02-17,2025-02-01,gold_40001,每日一键,一键购买日礼包-1,2275,141,4,4,2,,,,,
"2024-11-23",2024-11-23,2024-11-01,gold_7,金币,"4.99-300金币",2447,118,7,9,0,,,,,
"2024-11-23",2024-11-23,2024-11-01,gold_5,金币,"99.99-6600金币@JPY",2447,118,10,10,7,,,,,
"2024-10-01",2024-10-01,2024-10-01,gold_10,月卡,"19.99-尊贵月卡",2466,174,45,45,26,2466,174,58,93,46
"2024-10-01",2024-10-01,2024-10-01,gold_9,月卡,"4.99-月卡",2466,174,29,29,12,,,,,
"2024-08-21",2024-08-21,2024-08-01,gold_40001,每日一键,一键购买日礼包-1,2447,178,8,8,7,2447,178,33,34,28
"2025-01-25",2025-01-25,2025-01-01,gold_9,月卡,"4.99-月卡",2387,103,6,6,5,2387,103,14,16,13
"2024-11-02",2024-11-02,2024-11-01,gold_225,幸运屋,S28SSR+,2518,163,1,1,0,2518,163,4,4,1
"2025-01-25",2025-01-25,2025-01-01,gold_10,月卡,"19.99-尊贵月卡",2387,103,5,5,5,,,,,
"2025-01-25",2025-01-25,2025-01-01,gold_80002,月卡,资源月卡-9.99美元,2387,103,5,5,3,,,,,
"2024-08-21",2024-08-21,2024-08-01,gold_40002,每日一键,一键购买日礼包-2,2447,178,6,6,4,,,,,
"2025-03-07",2025-03-07,2025-03-01,gold_80001,battlepass,段位battlepass,2256,129,2,2,0,2256,129,2,2,0
"2024-11-02",2024-11-02,2024-11-01,gold_222,幸运屋,S25二好长逸SSR+,2518,163,1,1,0,,,,,
"2024-08-21",2024-08-21,2024-08-01,gold_40004,每日一键,一键购买,2447,178,20,20,17,,,,,
"2024-12-26",2024-12-26,2024-12-01,gold_411,赛季UR养成通行证,赛季UR养成星级battlepass99.99-6600金币,2329,100,1,1,0,2329,100,1,1,0
"2024-11-02",2024-11-02,2024-11-01,gold_135,幸运屋,全UR获得礼包,2518,163,1,1,0,,,,,
"2024-11-02",2024-11-02,2024-11-01,gold_143,幸运屋,小早川隆景SSR,2518,163,1,1,1,,,,,
"2024-10-01",2024-10-01,2024-10-01,gold_80002,月卡,资源月卡-9.99美元,2466,174,19,19,8,,,,,
"2024-08-27",2024-08-27,2024-08-01,gold_200002,签到礼包,签到礼包2,2445,149,13,13,10,2445,149,18,22,16
"2024-10-04",2024-10-04,2024-10-01,gold_306,运营活动直购礼包,每日特惠活动档位2,2474,143,2,2,1,2474,143,4,6,2
"2024-08-27",2024-08-27,2024-08-01,gold_200003,签到礼包,签到礼包3,2445,149,3,3,1,,,,,
"2024-10-23",2024-10-23,2024-10-01,gold_351,超级转盘,赛季UR转盘礼包2,2451,154,10,25,2,2451,154,22,94,14
"2024-10-23",2024-10-23,2024-10-01,gold_350,超级转盘,赛季UR转盘礼包1,2451,154,17,54,7,,,,,
"2024-10-04",2024-10-04,2024-10-01,gold_305,运营活动直购礼包,每日特惠活动档位1,2474,143,3,4,1,,,,,
"2024-10-23",2024-10-23,2024-10-01,gold_352,超级转盘,赛季UR转盘礼包3,2451,154,9,15,5,,,,,
"2024-08-27",2024-08-27,2024-08-01,gold_200001,签到礼包,签到礼包1,2445,149,6,6,5,,,,,
"2024-08-05",2024-08-05,2024-08-01,gold_90001,月度周储钱罐,月度周储钱罐,2500,172,112,112,82,2500,172,112,112,82
"2025-02-05",2025-02-05,2025-02-01,gold_401,battlepass,晋级征途,2325,140,2,2,1,2325,140,5,5,3
"2024-11-22",2024-11-22,2024-11-01,gold_90001,月度周储钱罐,月度周储钱罐,2381,164,9,9,3,2381,164,9,9,3
"2025-02-05",2025-02-05,2025-02-01,gold_80001,battlepass,段位battlepass,2325,140,3,3,2,,,,,
"2024-09-19",2024-09-19,2024-09-01,gold_5,金币,"99.99-6600金币@JPY",2393,100,4,4,2,2393,100,7,7,3
"2025-03-21",2025-03-21,2025-03-01,gold_333,行脚商人,行脚商人-自选礼包5,2254,105,4,6,3,2254,105,36,78,23
"2024-11-07",2024-11-07,2024-11-01,gold_80001,battlepass,段位battlepass,2425,100,5,5,4,2425,100,9,9,7
"2024-09-19",2024-09-19,2024-09-01,gold_8,金币,"0.99-30金币",2393,100,3,3,1,,,,,
"2025-03-21",2025-03-21,2025-03-01,gold_331,行脚商人,行脚商人-自选礼包3,2254,105,8,12,3,,,,,
"2025-03-21",2025-03-21,2025-03-01,gold_329,行脚商人,行脚商人-自选礼包1,2254,105,12,20,6,,,,,
"2025-03-21",2025-03-21,2025-03-01,gold_330,行脚商人,行脚商人-自选礼包2,2254,105,19,30,7,,,,,
"2024-08-09",2024-08-09,2024-08-01,gold_90001,月度周储钱罐,月度周储钱罐,2460,125,11,11,8,2460,125,11,11,8
"2024-11-07",2024-11-07,2024-11-01,gold_401,battlepass,晋级征途,2425,100,4,4,3,,,,,
"2025-03-21",2025-03-21,2025-03-01,gold_332,行脚商人,行脚商人-自选礼包4,2254,105,6,10,4,,,,,
"2025-04-01",2025-04-01,2025-04-01,gold_70164,周期-周礼包,每周礼包,2234,178,1,2,0,2234,178,6,11,1
"2024-11-23",2024-11-23,2024-11-01,gold_50009,周期-日礼包,每日礼包-神器4,2447,118,2,4,0,2447,118,6,8,3
"2024-10-26",2024-10-26,2024-10-01,gold_306,运营活动直购礼包,每日特惠活动档位2,2519,135,3,6,1,2519,135,11,28,7
"2025-04-01",2025-04-01,2025-04-01,gold_70173,周期-周礼包,每周礼包,2234,178,1,1,0,,,,,
"2024-11-23",2024-11-23,2024-11-01,gold_50001,周期-日礼包,每日礼包-new-金币1,2447,118,2,2,2,,,,,
"2024-10-26",2024-10-26,2024-10-01,gold_305,运营活动直购礼包,每日特惠活动档位1,2519,135,5,8,3,,,,,
"2025-04-01",2025-04-01,2025-04-01,gold_50047,周期-周礼包,周礼包-23,2234,178,4,8,1,,,,,
"2024-10-26",2024-10-26,2024-10-01,gold_307,运营活动直购礼包,每日特惠活动档位3,2519,135,7,14,3,,,,,
"2024-11-23",2024-11-23,2024-11-01,gold_50003,周期-日礼包,每日礼包-new-金币3,2447,118,2,2,1,,,,,
"2024-06-14",2024-06-14,2024-06-01,gold_3,金币,"19.99-1200金币",2555,145,4,5,3,2555,145,26,31,13
"2024-06-14",2024-06-14,2024-06-01,gold_7,金币,"4.99-300金币",2555,145,3,3,1,,,,,
"2024-12-23",2024-12-23,2024-12-01,gold_40002,每日一键,一键购买日礼包-2,2347,159,5,5,4,2347,159,26,26,19
"2024-06-14",2024-06-14,2024-06-01,gold_5,金币,"99.99-6600金币@JPY",2555,145,7,7,2,,,,,
"2024-12-23",2024-12-23,2024-12-01,gold_40004,每日一键,一键购买,2347,159,18,18,12,,,,,
"2024-06-14",2024-06-14,2024-06-01,gold_2,金币,"9.99-600金币",2555,145,3,3,2,,,,,
"2024-06-14",2024-06-14,2024-06-01,gold_4,金币,"49.99-3200金币",2555,145,4,4,3,,,,,
"2024-12-23",2024-12-23,2024-12-01,gold_40001,每日一键,一键购买日礼包-1,2347,159,3,3,3,,,,,
"2024-06-14",2024-06-14,2024-06-01,gold_8,金币,"0.99-30金币",2555,145,7,9,2,,,,,
"2024-11-27",2024-11-27,2024-11-01,gold_21004,团购礼包,团购礼包-320日元,2362,109,5,6,3,2362,109,18,40,13
"2024-12-23",2024-12-23,2024-12-01,gold_50005,周期-日礼包,每日礼包-new-金币5,2347,159,1,1,0,2347,159,3,3,0
"2024-07-19",2024-07-19,2024-07-01,gold_209,幸运屋,S12本愿寺显如SSR+,2491,213,6,6,5,2491,213,11,17,7
"2024-10-07",2024-10-07,2024-10-01,gold_60028,神武锻造,神武锻造-购买档位3,2473,158,3,8,1,2473,158,25,97,8
"2024-10-07",2024-10-07,2024-10-01,gold_60027,神武锻造,神武锻造-购买档位2,2473,158,5,8,2,,,,,
"2024-12-19",2024-12-19,2024-12-01,gold_40002,每日一键,一键购买日礼包-2,2314,110,3,3,2,2314,110,26,27,23
"2024-12-19",2024-12-19,2024-12-01,gold_40001,每日一键,一键购买日礼包-1,2314,110,5,5,5,,,,,
"2024-12-08",2024-12-08,2024-12-01,gold_411,赛季UR养成通行证,赛季UR养成星级battlepass99.99-6600金币,2400,152,1,1,0,2400,152,1,1,0
"2024-12-19",2024-12-19,2024-12-01,gold_40004,每日一键,一键购买,2314,110,19,19,16,,,,,
"2024-11-27",2024-11-27,2024-11-01,gold_21001,团购礼包,团购礼包-1200日元,2362,109,9,16,8,,,,,
"2024-07-19",2024-07-19,2024-07-01,gold_229,幸运屋,S31三之丸殿SSR+,2491,213,2,2,1,,,,,
"2024-07-19",2024-07-19,2024-07-01,gold_227,幸运屋,新年SSR+鹤姬,2491,213,3,7,0,,,,,
"2024-10-07",2024-10-07,2024-10-01,gold_60026,神武锻造,神武锻造-购买档位1,2473,158,21,81,5,,,,,
"2024-07-28",2024-07-28,2024-07-01,gold_401,battlepass,晋级征途,2507,160,3,3,3,2507,160,3,3,3
"2024-12-23",2024-12-23,2024-12-01,gold_50001,周期-日礼包,每日礼包-new-金币1,2347,159,2,2,0,,,,,
"2024-07-19",2024-07-19,2024-07-01,gold_135,幸运屋,全UR获得礼包,2491,213,2,2,1,,,,,
"2025-04-14",2025-04-14,2025-04-01,gold_90001,月度周储钱罐,月度周储钱罐,2195,111,53,53,22,2195,111,53,53,22
"2024-11-27",2024-11-27,2024-11-01,gold_21002,团购礼包,团购礼包-2400日元,2362,109,6,16,2,,,,,
"2024-11-27",2024-11-27,2024-11-01,gold_21003,团购礼包,团购礼包-6000日元,2362,109,1,2,0,,,,,
"2025-01-01",2025-01-01,2025-01-01,gold_50034,周期-周礼包,周礼包-10,2390,219,2,5,0,2390,219,9,20,3
"2025-01-01",2025-01-01,2025-01-01,gold_50047,周期-周礼包,周礼包-23,2390,219,3,8,1,,,,,
"2024-06-08",2024-06-08,2024-06-01,gold_329,行脚商人,行脚商人-自选礼包1,2639,174,23,36,7,2639,174,45,102,23
"2025-02-15",2025-02-15,2025-02-01,gold_200004,签到礼包,签到礼包4,2350,150,4,4,3,2350,150,27,31,22
"2024-06-08",2024-06-08,2024-06-01,gold_331,行脚商人,行脚商人-自选礼包3,2639,174,12,20,7,,,,,
"2025-02-15",2025-02-15,2025-02-01,gold_200001,签到礼包,签到礼包1,2350,150,9,9,8,,,,,
"2025-01-18",2025-01-18,2025-01-01,gold_80002,月卡,资源月卡-9.99美元,2396,114,14,14,12,2396,114,25,30,23
"2024-06-08",2024-06-08,2024-06-01,gold_330,行脚商人,行脚商人-自选礼包2,2639,174,14,22,5,,,,,
"2025-01-18",2025-01-18,2025-01-01,gold_10,月卡,"19.99-尊贵月卡",2396,114,7,7,6,,,,,
"2024-06-08",2024-06-08,2024-06-01,gold_333,行脚商人,行脚商人-自选礼包5,2639,174,11,16,2,,,,,
"2025-01-01",2025-01-01,2025-01-01,gold_50046,周期-周礼包,周礼包-22,2390,219,4,7,2,,,,,
"2024-06-08",2024-06-08,2024-06-01,gold_332,行脚商人,行脚商人-自选礼包4,2639,174,5,8,2,,,,,
"2025-01-18",2025-01-18,2025-01-01,gold_9,月卡,"4.99-月卡",2396,114,9,9,5,,,,,
"2025-02-15",2025-02-15,2025-02-01,gold_200002,签到礼包,签到礼包2,2350,150,11,11,6,,,,,
"2025-02-15",2025-02-15,2025-02-01,gold_200003,签到礼包,签到礼包3,2350,150,7,7,5,,,,,
"2024-09-28",2024-09-28,2024-09-01,gold_40003,每日一键,一键购买日礼包-3,2498,191,1,1,1,2498,191,39,42,28
"2024-09-28",2024-09-28,2024-09-01,gold_40002,每日一键,一键购买日礼包-2,2498,191,6,6,4,,,,,
"2024-09-28",2024-09-28,2024-09-01,gold_40001,每日一键,一键购买日礼包-1,2498,191,8,8,4,,,,,
"2025-02-13",2025-02-13,2025-02-01,gold_80001,battlepass,段位battlepass,2303,122,1,1,0,2303,122,3,4,1
"2024-09-28",2024-09-28,2024-09-01,gold_40004,每日一键,一键购买,2498,191,27,27,19,,,,,
"2025-02-13",2025-02-13,2025-02-01,gold_401,battlepass,晋级征途,2303,122,3,3,1,,,,,
"2024-11-04",2024-11-04,2024-11-01,gold_40002,每日一键,一键购买日礼包-2,2445,146,7,7,4,2445,146,39,41,22
"2024-11-21",2024-11-21,2024-11-01,gold_200002,签到礼包,签到礼包2,2402,141,13,13,8,2402,141,38,45,31
"2024-11-21",2024-11-21,2024-11-01,gold_200001,签到礼包,签到礼包1,2402,141,15,15,11,,,,,
"2024-10-08",2024-10-08,2024-10-01,gold_351,超级转盘,赛季UR转盘礼包2,2467,147,3,15,0,2467,147,17,82,6
"2025-03-30",2025-03-30,2025-03-01,gold_80002,月卡,资源月卡-9.99美元,2287,95,5,5,3,2287,95,14,18,13
"2025-04-27",2025-04-27,2025-04-01,gold_119,幸运屋,真田幸村SSR+获得礼包,2217,145,1,1,0,2217,145,2,2,1
"2024-11-25",2024-11-25,2024-11-01,gold_66,荣耀特典,"128231",2370,155,1,1,0,2370,155,1,1,0
"2025-01-27",2025-01-27,2025-01-01,gold_90002,月度活动,月度活跃-battlepass中级,2329,134,3,3,1,2329,134,5,5,2
"2024-11-04",2024-11-04,2024-11-01,gold_40004,每日一键,一键购买,2445,146,26,26,13,,,,,
"2025-03-30",2025-03-30,2025-03-01,gold_10,月卡,"19.99-尊贵月卡",2287,95,3,3,2,,,,,
"2025-04-27",2025-04-27,2025-04-01,gold_113,幸运屋,丰成秀吉SSR+获得礼包,2217,145,1,1,1,,,,,
"2024-10-08",2024-10-08,2024-10-01,gold_350,超级转盘,赛季UR转盘礼包1,2467,147,14,59,5,,,,,
