act_tag,pay_tag,type,dis_type,users,target_sum,target_count
20250321-20250324-4,微R,2_转盘心愿,S33前田庆次UR（碎片）,126,2575.0,515
20250117-20250120-4,小R,4_转盘心愿,武将经验 +20000,122,16208.0,2026
20250117-20250120-4,中R,4_转盘心愿,玉钢,134,18714000.0,3119
20250219-20250222-4,非R,4_转盘心愿,火砂（神武升级道具）,1407,2639200.0,13196
20250321-20250324-4,非R,4_转盘心愿,火砂（神武升级道具）,1163,841000.0,4205
20250321-20250324-4,大R,2_转盘心愿,援·丰臣秀吉SSR+,7,146.0,146
20250125-20250128-4,大R,4_转盘心愿,计策锦囊(被gameconstantset引用),33,22600.0,1130
20250125-20250128-4,中R,4_转盘心愿,火石（神武升星道具）,144,17012.0,4253
20250303-20250306-4,小R,2_转盘心愿,织田信长SSR+,46,461.0,461
20250303-20250306-4,中R,2_转盘心愿,谋·竹中半兵卫SSR+,42,788.0,788
20250303-20250306-4,大R,2_转盘心愿,神武武器-雍刀,34,1132.0,1132
20250412-20250415-4,大R,2_转盘心愿,S36SSR+-诸角虎定（碎片）,20,924.0,462
20250522-20250525-4,超R,2_转盘心愿,S7山本勘助SSR+,9,399.0,399
20250401-20250404-4,小R,4_转盘心愿,银币,137,150700000.0,1507
20250401-20250404-4,超R,4_转盘心愿,神砂,12,122000.0,610
20250506-20250509-4,未活跃,1_转盘心愿,UR采配,23,251.0,251
20250506-20250509-4,小R,4_转盘心愿,火砂（神武升级道具）,156,514800.0,2574
20241215-20241218-4,非R,4_转盘心愿,神砂,809,1536600.0,7683
20250522-20250525-4,大R,2_转盘心愿,勇·前田利家SSR+,4,85.0,85
20250108-20250111-4,大R,4_转盘心愿,神砂,31,208200.0,1041
20250522-20250525-4,超R,2_转盘心愿,织田信长SSR+,1,131.0,131
20250321-20250324-4,超R,4_转盘心愿,橙经验国宝,16,17.0,17
20250412-20250415-4,大R,3_转盘心愿,铁锭（装备饰品和改造道具）,34,562500.0,1125
20250412-20250415-4,微R,3_转盘心愿,研习金色道具,105,5965.0,1193
20250117-20250120-4,大R,1_转盘心愿,S34蒲生氏乡UR,23,654.0,654
20250117-20250120-4,非R,1_转盘心愿,S18山中幸盛SSR+,464,2305.0,2305
20250117-20250120-4,中R,1_转盘心愿,S18山中幸盛SSR+,35,252.0,252
20250125-20250128-4,超R,4_转盘心愿,玉钢,17,6432000.0,1072
20250117-20250120-4,未活跃,2_转盘心愿,S30丹羽长秀SSR+（碎片）,19,450.0,90
20250117-20250120-4,超R,2_转盘心愿,援·阿国SSR+,4,170.0,170
20241215-20241218-4,小R,3_转盘心愿,研习紫色道具,13,4600.0,46
20250125-20250128-4,未活跃,2_转盘心愿,勇·前田利家SSR+,15,132.0,132
20250412-20250415-4,中R,3_转盘心愿,家宝箱子道具自选包,33,567.0,567
20250219-20250222-4,小R,2_转盘心愿,援·阿国SSR+,38,486.0,486
20250108-20250111-4,超R,2_转盘心愿,S23岛津家久UR(碎片),3,175.0,35
20250125-20250128-4,超R,1_转盘心愿,UR神武武器-国光,17,575.0,575
20250321-20250324-4,小R,3_转盘心愿,研习橙色道具,146,27380.0,1369
20241207-20241210-4,未活跃,2_转盘心愿,谋·竹中半兵卫SSR+,31,31.0,31
20241207-20241210-4,大R,3_转盘心愿,战旗觉醒道具自选包,23,123.0,41
20250506-20250509-4,未活跃,4_转盘心愿,神砂,13,18000.0,90
20250117-20250120-4,超R,3_转盘心愿,研习紫色道具,1,100.0,1
20250207-20250210-4,未活跃,2_转盘心愿,援·丰臣秀吉SSR+,17,338.0,338
20250321-20250324-4,非R,3_转盘心愿,火砂（神武升级道具）,1163,2102500.0,4205
20250321-20250324-4,中R,3_转盘心愿,鉴宝令,26,84.0,28
20241207-20241210-4,超R,道具获得,3,9,690.0,99
20250412-20250415-4,中R,道具获得,3,47,2810.0,393
20241215-20241218-4,中R,道具获得,1,27,4346.0,327
20250117-20250120-4,非R,道具获得,4,838,10813.0,6317
20250303-20250306-4,微R,3_转盘心愿,火石（神武升星道具）,263,38090.0,3809
20250219-20250222-4,小R,3_转盘心愿,研习金色道具,50,2625.0,525
20250219-20250222-4,微R,3_转盘心愿,战旗觉醒道具自选包,71,2637.0,879
20250522-20250525-4,非R,3_转盘心愿,铁锭（装备饰品和改造道具）,1343,5367000.0,10734
20250125-20250128-4,非R,2_转盘心愿,援·阿国SSR+,375,3420.0,3420
20250506-20250509-4,大R,2_转盘心愿,SSR+神武武器-禅杖,34,963.0,963
20250506-20250509-4,非R,2_转盘心愿,S33前田美津SSR+（碎片）,268,4950.0,990
20250506-20250509-4,中R,2_转盘心愿,S33前田美津SSR+（碎片）,46,2730.0,546
20250219-20250222-4,非R,1_转盘心愿,S33前田庆次UR,501,1884.0,1884
20250219-20250222-4,超R,1_转盘心愿,UR采配,17,458.0,458
20250207-20250210-4,非R,2_转盘心愿,谋·竹中半兵卫SSR+,317,6182.0,6182
20250207-20250210-4,小R,2_转盘心愿,S14濑名姬SSR+(碎片),38,3500.0,700
20250303-20250306-4,中R,3_转盘心愿,家宝箱子道具自选包,19,257.0,257
20250207-20250210-4,大R,1_转盘心愿,S35真田幸隆SSR+,24,228.0,228
20250303-20250306-4,未活跃,1_转盘心愿,S33前田庆次UR,9,29.0,29
20250219-20250222-4,小R,4_转盘心愿,武将经验 +20000,112,12704.0,1588
20250412-20250415-4,小R,4_转盘心愿,火石（神武升星道具）,157,11096.0,2774
20250412-20250415-4,中R,1_转盘心愿,UR神武武器-国光,146,3691.0,3691
20250424-20250427-4,小R,2_转盘心愿,S28柿崎景家UR（碎片）,69,2625.0,525
20250424-20250427-4,大R,2_转盘心愿,谋·竹中半兵卫SSR+,13,340.0,340
20250424-20250427-4,微R,2_转盘心愿,神武武器-武士刀,273,3684.0,3684
20250522-20250525-4,微R,2_转盘心愿,S36SSR+-诸角虎定（碎片）,117,1938.0,969
20250321-20250324-4,超R,4_转盘心愿,银币,17,83125000.0,844
20250125-20250128-4,大R,3_转盘心愿,战旗觉醒道具自选包,23,1386.0,462
20250506-20250509-4,大R,1_转盘心愿,S30丹羽长秀SSR+,8,230.0,230
20250412-20250415-4,中R,2_转盘心愿,勇·前田利家SSR+,46,1213.0,1213
20250412-20250415-4,大R,2_转盘心愿,神武武器-武士刀,34,1125.0,1125
20250522-20250525-4,非R,1_转盘心愿,神武武器-朱枪,1343,10734.0,10734
20250321-20250324-4,中R,1_转盘心愿,S35真田幸隆SSR+,72,381.0,381
20250321-20250324-4,非R,1_转盘心愿,S35真田幸隆SSR+,485,1109.0,1109
20250321-20250324-4,中R,2_转盘心愿,谋·竹中半兵卫SSR+,39,942.0,942
20250321-20250324-4,中R,2_转盘心愿,6周年金色神威任选箱（20种全）,65,74.0,74
20250125-20250128-4,非R,4_转盘心愿,神砂,977,2121000.0,10605
20250125-20250128-4,小R,4_转盘心愿,铁锭（装备饰品和改造道具）,156,745200.0,3726
20241215-20241218-4,微R,4_转盘心愿,计策锦囊(被gameconstantset引用),236,109300.0,5465
20241215-20241218-4,中R,4_转盘心愿,玉钢,137,33312000.0,5552
20250321-20250324-4,小R,1_转盘心愿,S29佐久间盛政UR,27,78.0,78
20250412-20250415-4,小R,3_转盘心愿,试金石,157,27740.0,2774
20241215-20241218-4,中R,3_转盘心愿,橙经验国宝,25,1870.0,374
20250401-20250404-4,超R,3_转盘心愿,研习金色道具,4,570.0,114
20250117-20250120-4,大R,1_转盘心愿,S30丹羽长秀SSR+,23,238.0,238
20250207-20250210-4,未活跃,3_转盘心愿,UR招募令,28,1236.0,412
20250117-20250120-4,大R,3_转盘心愿,研习金色道具,11,1445.0,289
20250401-20250404-4,非R,1_转盘心愿,S35真田幸隆SSR+,431,936.0,936
20250401-20250404-4,小R,1_转盘心愿,S29佐久间盛政UR,37,111.0,111
20250401-20250404-4,大R,1_转盘心愿,S30明智光秀UR,5,105.0,105
20250207-20250210-4,超R,3_转盘心愿,武将经验 +100000,11,2220.0,444
20250522-20250525-4,超R,3_转盘心愿,橙经验国宝,3,245.0,49
20250207-20250210-4,未活跃,1_转盘心愿,S14濑名姬SSR+,11,138.0,138
20241215-20241218-4,大R,2_转盘心愿,织田信长SSR+,17,430.0,430
20250108-20250111-4,超R,2_转盘心愿,援·阿国SSR+,3,185.0,185
20250108-20250111-4,微R,1_转盘心愿,S25北富具教UR,22,124.0,124
20250108-20250111-4,小R,1_转盘心愿,S25北富具教UR,13,49.0,49
20250125-20250128-4,大R,1_转盘心愿,神武武器-朱枪,34,1483.0,1483
20250321-20250324-4,未活跃,1_转盘心愿,S33前田庆次UR,8,19.0,19
20241227-20241230-4,非R,1_转盘心愿,S26畠山高政SSR+,334,1991.0,1991
20250117-20250120-4,超R,直购礼包上月标签,超R,7,32248.573500000002,107
20250321-20250324-4,中R,3_转盘心愿,战旗觉醒道具自选包,97,3690.0,1230
20250321-20250324-4,小R,3_转盘心愿,研习金色道具,105,3330.0,666
20241227-20241230-4,超R,2_转盘心愿,织田信长SSR+,5,166.0,166
20250219-20250222-4,中R,直购礼包,赛季UR转盘礼包2,8,4690.0896,39
20250219-20250222-4,超R,直购礼包,赛季UR转盘礼包1,6,1861.5988999999997,58
20241227-20241230-4,非R,直购礼包,赛季UR转盘礼包2,3,1565.0448000000001,13
20250117-20250120-4,微R,直购礼包,赛季UR转盘礼包3,1,614.8036,1
20250401-20250404-4,大R,直购礼包,赛季UR转盘礼包2,8,3515.3136,29
20250321-20250324-4,小R,直购礼包,赛季UR转盘礼包1,2,199.4652,6
20250125-20250128-4,大R,直购礼包,赛季UR转盘礼包1,2,640.0,20
20241207-20241210-4,微R,3_转盘心愿,S34招募令,134,603.0,201
20250506-20250509-4,未活跃,2_转盘心愿,S34织田冬姬SSR+（碎片）,7,205.0,41
20241227-20241230-4,大R,3_转盘心愿,S34招募令,26,3135.0,1045
20241227-20241230-4,大R,3_转盘心愿,家宝箱子道具自选包,11,239.0,239
20241227-20241230-4,非R,3_转盘心愿,研习紫色道具,106,30500.0,305
20241227-20241230-4,超R,1_转盘心愿,S18山中幸盛SSR+,2,7.0,7
20250321-20250324-4,超R,2_转盘心愿,金色装备随机箱（全）,10,10.0,10
20250321-20250324-4,非R,3_转盘心愿,铁锭（装备饰品和改造道具）,1163,2102500.0,4205
20241207-20241210-4,大R,1_转盘心愿,S34织田冬姬SSR+,29,34.0,34
20241207-20241210-4,微R,道具获得,3,87,3485.0,441
20241207-20241210-4,小R,道具获得,1,13,1208.0,80
20250207-20250210-4,未活跃,道具获得,3,22,1760.0,210
20241227-20241230-4,小R,道具获得,4,137,2827.0,1428
20250108-20250111-4,超R,道具获得,3,9,670.0,98
20250303-20250306-4,非R,3_转盘心愿,火砂（神武升级道具）,1386,6023000.0,12046
20250303-20250306-4,非R,3_转盘心愿,铁锭（装备饰品和改造道具）,1386,6023000.0,12046
20250303-20250306-4,中R,4_转盘心愿,计策锦囊(被gameconstantset引用),135,51240.0,2562
20241215-20241218-4,非R,3_转盘心愿,研习金色道具,347,12965.0,2593
20250219-20250222-4,大R,3_转盘心愿,武将经验 +100000,32,5645.0,1129
20250219-20250222-4,未活跃,3_转盘心愿,研习金色道具,19,395.0,79
20250522-20250525-4,小R,3_转盘心愿,研习橙色道具,139,22620.0,1131
20250125-20250128-4,中R,2_转盘心愿,SSR+神武武器-禅杖,144,4253.0,4253
20250108-20250111-4,中R,3_转盘心愿,阵石招募令,83,6672.0,2224
20250506-20250509-4,未活跃,2_转盘心愿,SSR+神武武器-禅杖,23,251.0,251
20250219-20250222-4,中R,1_转盘心愿,UR神武武器-国光,144,3464.0,3464
20250219-20250222-4,小R,1_转盘心愿,神武武器-瓮通枪,156,2869.0,2869
20250219-20250222-4,超R,1_转盘心愿,神武武器-朱枪,17,458.0,458
20250219-20250222-4,微R,1_转盘心愿,S29佐久间盛政UR,66,281.0,281
20250117-20250120-4,非R,2_转盘心愿,织田信长SSR+,251,1934.0,1934
20250117-20250120-4,中R,2_转盘心愿,S18山中幸盛SSR+(碎片),33,1160.0,232
20250506-20250509-4,大R,3_转盘心愿,研习橙色道具,25,14400.0,720
20250506-20250509-4,超R,3_转盘心愿,火砂（神武升级道具）,17,172500.0,345
20250506-20250509-4,中R,3_转盘心愿,武将经验 +100000,125,9380.0,1876
20250219-20250222-4,微R,3_转盘心愿,试金石,272,44270.0,4427
20250506-20250509-4,小R,1_转盘心愿,UR采配,156,2574.0,2574
20250506-20250509-4,中R,1_转盘心愿,UR赤備えの太刀,146,3284.0,3284
20250207-20250210-4,中R,1_转盘心愿,S31三之丸殿SSR+,82,1040.0,1040
20250108-20250111-4,非R,2_转盘心愿,织田信长SSR+,210,1583.0,1583
20250412-20250415-4,超R,4_转盘心愿,火石（神武升星道具）,17,2048.0,512
20250522-20250525-4,大R,4_转盘心愿,火砂（神武升级道具）,33,172400.0,862
20250424-20250427-4,微R,1_转盘心愿,S36UR-武田信繁,155,1658.0,1658
20250412-20250415-4,微R,2_转盘心愿,SSR+神武武器-禅杖,274,4174.0,4174
20250412-20250415-4,中R,2_转盘心愿,SSR+鬼虎之枪,146,3691.0,3691
20250424-20250427-4,非R,2_转盘心愿,SSR+折扇,1353,10683.0,10683
20250522-20250525-4,非R,2_转盘心愿,神武武器-雍刀,1343,10734.0,10734
20250424-20250427-4,大R,4_转盘心愿,神砂,28,196400.0,982
20250321-20250324-4,微R,4_转盘心愿,神砂,272,462550.0,2525
20250424-20250427-4,微R,4_转盘心愿,火砂（神武升级道具）,273,736800.0,3684
20250125-20250128-4,小R,3_转盘心愿,武将经验 +100000,38,2750.0,550
20250303-20250306-4,小R,3_转盘心愿,橙经验国宝,27,1340.0,268
20250522-20250525-4,小R,1_转盘心愿,佐竹义重UR武器,157,2484.0,2484
20250321-20250324-4,非R,1_转盘心愿,S32酒井忠次UR,232,801.0,801
20250321-20250324-4,中R,1_转盘心愿,联动-查理曼UR,52,58.0,58
20250219-20250222-4,非R,2_转盘心愿,S31京极龙子UR（碎片）,365,7010.0,1402
20250219-20250222-4,小R,2_转盘心愿,SSR+神武武器-禅杖,156,2869.0,2869
20250219-20250222-4,未活跃,2_转盘心愿,SSR+折扇,51,350.0,350
