type,period,last1_paytag,dtype1,dtype2,users,money_rmb,paid_add
paymentname_date_group,2025-03-18,大R,网页充值,660网页充值,1,584.063420,
paymentname_date_group,2025-04-25,超R,神武锻造,神武锻造-购买档位1,2,338.663000,
paymentname_date_group,2025-05-07,超R,周期-日礼包,每日礼包-V15,1,125.044800,1200.0
paymentname_date_group,2025-03-30,大R,网页充值,1320网页充值,1,1168.126840,
paymentname_date_group,2024-11-20,中R,行脚商人,行脚商人-自选礼包2,5,437.656800,4200.0
paymentname_date_group,2025-03-20,超R,行脚商人,行脚商人-自选礼包3,4,875.313600,8400.0
paymentname_date_group,2024-10-14,中R,神魔之乱,神魔-绘马礼包1,10,982.122700,
paymentname_date_group,2024-11-28,超R,珍珠,99.99-660珍珠,3,8607.250400,
paymentname_date_group,2024-11-17,大R,签到礼包,签到礼包3,1,312.612000,3200.0
paymentname_date_group,2024-10-04,小R,游园会通行证,游园会史诗礼包19.99-600金币,1,125.044800,1200.0
paymentname_date_group,2024-10-27,中R,金币,0.99-30金币,3,33.345280,160.0
paymentname_date_group,2024-10-23,中R,周期-周礼包,周礼包-10,1,33.866300,320.0
paymentname_date_group,2024-10-14,中R,神魔之乱,神魔-绘马礼包3,2,1844.410800,
paymentname_date_group,2025-03-10,大R,6周年礼包,6周年-购买档位1-1,2,474.128200,
paymentname_date_group,2025-02-01,中R,金币,99.99-6600金币@JPY,8,4918.428800,52800.0
paymentname_date_group,2025-01-27,超R,团购礼包,团购礼包-6000日元,1,625.224000,6400.0
paymentname_date_group,2025-01-19,中R,珍珠,4.99-32珍珠,4,135.465200,
paymentname_date_group,2024-10-03,大R,4周年庆典自选礼包,4周年庆典自选礼包1,9,1125.403200,10800.0
paymentname_date_group,2024-12-03,大R,行脚商人,行脚商人-自选礼包5,1,1229.607200,13200.0
paymentname_date_group,2025-05-05,超R,周期-日礼包,每日礼包-V15-5,1,8.336320,100.0
paymentname_date_group,2025-02-19,大R,神武锻造,神武锻造-购买档位3,2,1844.410800,
paymentname_date_group,2025-03-04,中R,月度活动,月度活跃-battlepass中级,3,375.134400,3600.0
paymentname_date_group,2024-12-07,中R,月卡,4.99-月卡,2,67.732600,740.0
paymentname_date_group,2025-04-16,中R,开运礼包,开运礼包5,1,312.612000,3200.0
paymentname_date_group,2024-11-05,大R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2025-04-01,大R,网页充值,660网页充值,3,1752.190260,
paymentname_date_group,2024-10-27,超R,6周年礼包,6周年-购买档位4-3,2,1229.607200,
paymentname_date_group,2024-12-10,小R,珍珠,9.99-60珍珠,1,62.522400,
paymentname_date_group,2025-01-19,小R,battlepass-周年庆,四周年通行证,3,375.134400,
paymentname_date_group,2024-11-11,小R,行脚商人,行脚商人-自选礼包1,1,33.866300,320.0
paymentname_date_group,2025-04-29,小R,周期-日礼包,每日礼包-V9-14-4,2,16.672640,200.0
paymentname_date_group,2024-11-02,大R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2024-11-21,中R,周期-日礼包,每日礼包-new-金币3,2,67.732600,960.0
paymentname_date_group,2025-04-06,大R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2025-03-03,中R,珍珠,0.99-4珍珠,6,75.026880,
paymentname_date_group,2025-03-09,小R,金币,4.99-300金币,1,33.866300,320.0
paymentname_date_group,2025-02-06,中R,珍珠,0.99-4珍珠,4,141.717440,
paymentname_date_group,2024-11-10,非R,月度周储钱罐,月度周储钱罐,1,16.672640,300.0
paymentname_date_group,2025-03-09,中R,珍珠,0.99-4珍珠,4,58.354240,
paymentname_date_group,2024-11-01,微R,battlepass-周年庆,四周年通行证,4,500.179200,
paymentname_date_group,2025-05-05,中R,金币,19.99-1200金币,1,125.044800,1200.0
paymentname_date_group,2025-02-13,中R,网页充值,3300网页充值,1,2920.317100,
paymentname_date_group,2025-05-26,小R,一条龙,一条龙礼包2-2,1,16.672640,
paymentname_date_group,2025-04-29,中R,周期-周礼包,每周礼包-V9-14-6,3,50.017920,480.0
paymentname_date_group,2025-02-06,中R,月卡,4.99-月卡,4,135.465200,1480.0
paymentname_date_group,2024-11-18,超R,团购礼包,团购礼包-2400日元,1,125.044800,1200.0
paymentname_date_group,2024-12-28,大R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2024-12-13,超R,神魔之乱,神魔-绘马礼包3,1,3074.018000,
paymentname_date_group,2025-01-31,大R,运营活动直购礼包,每日特惠活动档位1,1,67.732600,
paymentname_date_group,2024-10-07,中R,网页充值,60网页充值,1,59.396280,
paymentname_date_group,2024-12-29,大R,月卡,4.99-月卡,2,67.732600,740.0
paymentname_date_group,2025-03-23,微R,4周年庆典自选礼包,4周年庆典自选礼包1,1,125.044800,1200.0
paymentname_date_group,2024-12-19,中R,签到礼包,签到礼包1,1,62.522400,600.0
paymentname_date_group,2024-12-10,小R,幸运屋,S33前田美津SSR+,5,312.612000,
paymentname_date_group,2024-12-30,小R,珍珠,0.99-4珍珠,1,8.336320,
paymentname_date_group,2024-11-10,中R,每日一键,一键购买日礼包-1,1,8.336320,40.0
paymentname_date_group,2025-02-08,中R,珍珠,49.99-320珍珠,3,937.836000,
paymentname_date_group,2024-12-29,超R,battlepass-周年庆,四周年通行证,1,125.044800,
paymentname_date_group,2025-04-23,非R,月度周储钱罐,月度周储钱罐,1,16.672640,300.0
paymentname_date_group,2025-05-24,大R,珍珠,4.99-32珍珠,1,203.197800,
paymentname_date_group,2025-02-09,中R,珍珠,49.99-320珍珠,2,625.224000,
paymentname_date_group,2024-10-24,大R,6周年礼包,6周年-购买档位4-3,3,4303.625200,
paymentname_date_group,2024-11-17,微R,签到礼包,签到礼包1,2,125.044800,1200.0
paymentname_date_group,2025-04-05,小R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2024-11-21,大R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2025-05-24,大R,超级转盘,赛季UR转盘礼包3,1,614.803600,
paymentname_date_group,2024-10-15,大R,幸运屋,新-出云阿国SSR+,1,62.522400,
paymentname_date_group,2025-01-07,中R,珍珠,4.99-32珍珠,2,67.732600,
paymentname_date_group,2024-10-07,中R,每日一键,一键购买日礼包-2,1,8.336320,40.0
paymentname_date_group,2025-02-03,大R,签到礼包,签到礼包3,3,937.836000,9600.0
paymentname_date_group,2025-03-23,小R,月卡,19.99-尊贵月卡,1,125.044800,1400.0
paymentname_date_group,2025-03-25,大R,6周年礼包,6周年-购买档位3-3,1,1844.410800,
paymentname_date_group,2025-02-15,中R,情人节活动,2025情人节-巧克力礼包5,1,614.803600,
paymentname_date_group,2024-12-10,小R,珍珠,0.99-4珍珠,2,33.345280,
paymentname_date_group,2025-04-28,大R,运营活动直购礼包,每日特惠活动档位1,1,101.598900,
paymentname_date_group,2025-02-15,微R,战鼓解锁,战鼓3,1,125.044800,
paymentname_date_group,2024-10-09,大R,网页充值,13200网页充值,1,11681.268400,
paymentname_date_group,2025-03-09,非R,战鼓解锁,战鼓3,1,125.044800,
paymentname_date_group,2025-05-24,中R,月卡,4.99-2025月卡,3,101.598900,1110.0
paymentname_date_group,2025-01-06,小R,团购礼包,团购礼包-6000日元,1,312.612000,3200.0
paymentname_date_group,2025-02-11,大R,珍珠,9.99-60珍珠,2,187.567200,
paymentname_date_group,2024-11-17,大R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2025-04-15,大R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2025-04-04,中R,6周年礼包,6周年-购买档位4-1,2,270.930400,
paymentname_date_group,2025-03-16,大R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2024-10-01,大R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2024-10-11,大R,6周年礼包,6周年-购买档位2-1,3,406.395600,
paymentname_date_group,2025-02-03,中R,月卡,4.99-月卡,5,169.331500,1850.0
paymentname_date_group,2024-11-05,大R,周期-日礼包,每日礼包-new-金币5,1,125.044800,1800.0
paymentname_date_group,2025-04-04,中R,超级转盘,赛季UR转盘礼包3,1,614.803600,
paymentname_date_group,2024-10-11,超R,4周年庆典自选礼包,4周年庆典自选礼包1,2,250.089600,2400.0
paymentname_date_group,2024-10-18,超R,幸运屋,S28SSR+,1,62.522400,
paymentname_date_group,2024-12-09,大R,运营活动直购礼包,每日特惠活动档位3,1,614.803600,
paymentname_date_group,2024-12-10,中R,每日一键,一键购买日礼包-1,4,33.345280,160.0
paymentname_date_group,2025-05-20,中R,珍珠,9.99-60珍珠,2,125.044800,
paymentname_date_group,2024-12-10,中R,珍珠,4.99-32珍珠,2,67.732600,
paymentname_date_group,2025-03-17,中R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2025-02-27,大R,月次祭礼包,月次祭礼包3,1,1229.607200,
paymentname_date_group,2025-03-18,中R,网页充值,660网页充值,2,1168.126840,
paymentname_date_group,2024-11-08,中R,周期-周礼包,周礼包-22,1,67.732600,640.0
paymentname_date_group,2024-11-18,微R,签到礼包,签到礼包1,2,125.044800,1200.0
paymentname_date_group,2024-12-11,超R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2025-02-28,大R,周期-日礼包,每日礼包-new-金币4,1,62.522400,900.0
paymentname_date_group,2024-11-05,超R,团购礼包,团购礼包-6000日元,2,2188.284000,22400.0
paymentname_date_group,2024-11-21,中R,珍珠,4.99-32珍珠,3,169.331500,
paymentname_date_group,2024-11-30,大R,月卡,资源月卡-9.99美元,2,125.044800,1400.0
paymentname_date_group,2024-10-25,中R,珍珠,9.99-60珍珠,1,62.522400,
paymentname_date_group,2024-11-22,大R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2024-11-20,大R,行脚商人,行脚商人-自选礼包1,7,406.395600,3840.0
paymentname_date_group,2025-03-05,小R,月卡,4.99-月卡,1,33.866300,370.0
paymentname_date_group,2024-12-26,中R,每日一键,一键购买日礼包-1,4,33.345280,160.0
paymentname_date_group,2025-01-14,小R,月度周储钱罐,月度周储钱罐,1,16.672640,300.0
paymentname_date_group,2025-04-01,大R,签到礼包,签到礼包1,5,312.612000,3000.0
paymentname_date_group,2024-10-19,中R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2025-01-20,超R,运营活动直购礼包,每日特惠活动档位3,3,1844.410800,
paymentname_date_group,2025-04-17,大R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2024-10-31,小R,幸运屋,真田幸村SSR+获得礼包,1,62.522400,
paymentname_date_group,2024-11-17,小R,团购礼包,团购礼包-6000日元,1,312.612000,3200.0
paymentname_date_group,2025-02-07,中R,签到礼包,签到礼包1,2,125.044800,1200.0
paymentname_date_group,2024-11-04,中R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2025-04-21,小R,行脚商人,行脚商人-自选礼包2,1,125.044800,1200.0
paymentname_date_group,2025-03-19,超R,6周年礼包,6周年-购买档位2-1,2,372.529300,
paymentname_date_group,2025-03-09,微R,签到礼包,签到礼包1,1,62.522400,600.0
paymentname_date_group,2024-12-05,大R,行脚商人,行脚商人-自选礼包2,6,625.224000,6000.0
paymentname_date_group,2025-03-31,超R,4周年庆典自选礼包,4周年庆典自选礼包1,1,125.044800,1200.0
paymentname_date_group,2024-12-08,中R,团购礼包,团购礼包-320日元,2,33.345280,480.0
paymentname_date_group,2025-04-25,中R,珍珠,19.99-120珍珠,4,500.179200,
paymentname_date_group,2025-03-21,中R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2025-01-22,未活跃,月卡,9.99-新尊贵月卡-回流折扣,1,62.522400,1400.0
paymentname_date_group,2025-05-25,中R,网页充值,60网页充值,1,59.396280,
paymentname_date_group,2025-02-24,中R,珍珠,19.99-120珍珠,1,125.044800,
paymentname_date_group,2024-12-13,中R,幸运屋,S33前田美津SSR+,1,62.522400,
paymentname_date_group,2025-04-19,超R,情人节活动,2025情人节-节日礼包2,2,101.598900,960.0
paymentname_date_group,2024-12-24,中R,6周年礼包,6周年-购买档位1-2,1,125.044800,
paymentname_date_group,2024-11-23,中R,金币,4.99-300金币,2,135.465200,1280.0
paymentname_date_group,2025-05-06,大R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2025-01-26,超R,珍珠,49.99-320珍珠,1,625.224000,
paymentname_date_group,2025-05-18,小R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2024-10-23,大R,battlepass-周年庆,四周年通行证,2,250.089600,
paymentname_date_group,2025-02-01,小R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2024-12-13,中R,签到礼包,签到礼包4,3,1844.410800,19800.0
paymentname_date_group,2024-10-13,非R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2024-11-22,超R,珍珠,4.99-32珍珠,1,33.866300,
paymentname_date_group,2025-03-12,中R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2025-01-20,微R,珍珠,19.99-120珍珠,1,125.044800,
paymentname_date_group,2025-04-22,中R,千本抽,千本抽礼包7,1,614.803600,6600.0
paymentname_date_group,2025-04-07,微R,神武锻造,神武锻造-购买档位2,1,125.044800,
paymentname_date_group,2025-05-04,大R,情人节活动,2025情人节-巧克力礼包2,2,875.313600,
paymentname_date_group,2025-02-17,大R,情人节活动,2025情人节-节日礼包9,2,1844.410800,19800.0
paymentname_date_group,2025-04-18,超R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2024-11-02,中R,运营活动直购礼包,每日特惠活动档位1,2,169.331500,
paymentname_date_group,2024-10-13,中R,金币,19.99-1200金币,2,250.089600,2400.0
paymentname_date_group,2024-11-15,大R,签到礼包,签到礼包3,2,625.224000,6400.0
paymentname_date_group,2025-04-16,中R,周期-周礼包,周礼包-23,1,125.044800,1200.0
paymentname_date_group,2024-12-12,中R,珍珠,99.99-660珍珠,1,614.803600,
paymentname_date_group,2025-05-20,大R,周期-周礼包,每周礼包-V15,1,375.134400,4400.0
paymentname_date_group,2025-04-07,小R,月卡,19.99-尊贵月卡,2,250.089600,2800.0
paymentname_date_group,2024-10-18,中R,金币,0.99-30金币,3,33.345280,160.0
paymentname_date_group,2025-01-28,中R,金币,19.99-1200金币,1,125.044800,1200.0
paymentname_date_group,2025-03-20,微R,每日一键,一键购买日礼包-1,1,8.336320,40.0
paymentname_date_group,2024-10-27,非R,每日一键,一键购买日礼包-1,1,8.336320,40.0
paymentname_date_group,2024-10-19,大R,情人节活动,2024情人节史诗礼包19.99-600金币,5,625.224000,6000.0
paymentname_date_group,2025-01-25,中R,珍珠,9.99-60珍珠,2,125.044800,
paymentname_date_group,2024-10-19,中R,每日一键,一键购买日礼包-2,1,8.336320,40.0
paymentname_date_group,2024-12-18,中R,珍珠,19.99-120珍珠,1,125.044800,
paymentname_date_group,2024-11-11,超R,行脚商人,行脚商人-自选礼包3,1,250.089600,2400.0
paymentname_date_group,2025-01-18,中R,幸运屋,S12本愿寺显如SSR+,1,62.522400,
paymentname_date_group,2024-12-06,中R,月卡,4.99-月卡,2,67.732600,740.0
paymentname_date_group,2025-01-19,中R,珍珠,49.99-320珍珠,1,312.612000,
paymentname_date_group,2024-10-18,中R,4周年庆典自选礼包,4周年庆典自选礼包1,7,875.313600,8400.0
paymentname_date_group,2025-04-09,微R,月卡,4.99-月卡,1,33.866300,370.0
paymentname_date_group,2024-12-07,中R,金币,19.99-1200金币,1,125.044800,1200.0
paymentname_date_group,2025-02-11,中R,珍珠,4.99-32珍珠,3,270.930400,
paymentname_date_group,2024-10-31,小R,行脚商人,行脚商人-自选礼包3,1,125.044800,1200.0
paymentname_date_group,2025-05-22,中R,网页充值,660网页充值,3,1752.190260,
paymentname_date_group,2024-11-26,中R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2024-12-14,小R,签到礼包,签到礼包1,1,62.522400,600.0
paymentname_date_group,2025-03-23,大R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2025-04-19,中R,幸运屋,S26畠山高政SSR+,1,62.522400,
paymentname_date_group,2024-10-26,中R,限购礼包,2400日元限时礼包=+UR将魂+SSR+将魂+,1,125.044800,
paymentname_date_group,2025-02-02,中R,神魔之乱,神魔-绘马礼包2,1,125.044800,
paymentname_date_group,2024-12-24,大R,神武锻造,神武锻造-购买档位3,2,3074.018000,
paymentname_date_group,2025-04-07,中R,周期-日礼包,每日礼包-new-金币3,1,33.866300,480.0
paymentname_date_group,2025-02-09,中R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2024-12-03,微R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2025-01-28,大R,珍珠,19.99-120珍珠,1,125.044800,
paymentname_date_group,2024-10-18,大R,情人节活动,2024情人节信物礼包3,1,614.803600,
paymentname_date_group,2025-05-07,小R,每日一键,一键购买,1,25.008960,240.0
paymentname_date_group,2025-05-07,中R,每日一键,一键购买日礼包-2,1,8.336320,40.0
paymentname_date_group,2025-03-13,超R,网页充值,1320网页充值,1,1168.126840,
paymentname_date_group,2025-03-28,中R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2025-02-18,超R,每日一键,一键购买,1,25.008960,240.0
paymentname_date_group,2025-04-30,中R,月卡,9.99-2025资源月卡,1,62.522400,700.0
paymentname_date_group,2025-01-20,大R,月度活动,月度活跃-battlepass高级,1,312.612000,3200.0
paymentname_date_group,2024-10-07,中R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2025-01-15,超R,签到礼包,签到礼包2,1,125.044800,1200.0
paymentname_date_group,2025-03-27,超R,金币,19.99-1200金币,1,125.044800,1200.0
paymentname_date_group,2025-04-26,超R,超级转盘,赛季UR转盘礼包1,1,169.331500,
paymentname_date_group,2025-05-13,微R,金币,4.99-300金币,1,33.866300,320.0
paymentname_date_group,2025-05-10,小R,月度周储钱罐,月度周储钱罐,3,50.017920,900.0
paymentname_date_group,2025-03-22,中R,珍珠,4.99-32珍珠,4,169.331500,
paymentname_date_group,2024-11-30,微R,战鼓解锁,战鼓3,2,250.089600,
paymentname_date_group,2025-01-04,中R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2025-05-12,微R,限购礼包,160日元限时礼包=+金币+铭刻道具+玉钢,1,8.336320,40.0
paymentname_date_group,2025-01-10,中R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2024-12-25,中R,每日一键,一键购买日礼包-2,2,16.672640,80.0
paymentname_date_group,2025-03-19,中R,每日一键,一键购买日礼包-1,1,8.336320,40.0
paymentname_date_group,2025-01-10,大R,珍珠,99.99-660珍珠,1,614.803600,
paymentname_date_group,2024-10-25,小R,battlepass,段位battlepass,1,203.197800,1900.0
paymentname_date_group,2025-02-04,大R,签到礼包,签到礼包2,1,125.044800,1200.0
paymentname_date_group,2025-01-09,小R,4周年庆典自选礼包,4周年庆典自选礼包1,1,125.044800,1200.0
paymentname_date_group,2024-11-21,中R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2024-12-27,中R,珍珠,0.99-4珍珠,3,25.008960,
paymentname_date_group,2024-10-18,中R,珍珠,0.99-4珍珠,3,25.008960,
paymentname_date_group,2025-02-10,小R,金币,19.99-1200金币,1,125.044800,1200.0
paymentname_date_group,2025-02-06,中R,周期-周礼包,周礼包-23,1,187.567200,1800.0
paymentname_date_group,2025-01-30,中R,珍珠,4.99-32珍珠,4,135.465200,
paymentname_date_group,2025-05-12,超R,6周年礼包,6周年-购买档位1-2,1,125.044800,
paymentname_date_group,2024-10-15,小R,金币,49.99-3200金币,1,312.612000,3200.0
paymentname_date_group,2025-01-25,中R,月卡,19.99-尊贵月卡,1,125.044800,1400.0
paymentname_date_group,2025-01-29,超R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2025-01-16,中R,神武锻造,神武锻造-购买档位2,1,500.179200,
paymentname_date_group,2024-12-29,中R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2025-03-19,中R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2025-03-10,大R,珍珠,99.99-660珍珠,1,614.803600,
paymentname_date_group,2025-03-14,超R,网页充值,660网页充值,1,1168.126840,
paymentname_date_group,2025-05-16,微R,每日一键,一键购买,1,25.008960,240.0
paymentname_date_group,2025-05-25,小R,月度周储钱罐,月度周储钱罐,3,50.017920,900.0
paymentname_date_group,2024-10-23,小R,珍珠,0.99-4珍珠,1,8.336320,
paymentname_date_group,2024-11-25,微R,限购礼包,650日元限时礼包=+金币+玉钢+朱砂,1,33.866300,320.0
paymentname_date_group,2024-11-07,小R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2024-11-26,大R,运营活动直购礼包,每日特惠活动档位2,2,750.268800,
paymentname_date_group,2025-01-01,大R,battlepass,晋级征途,1,166.726400,
paymentname_date_group,2025-02-21,中R,幸运屋,S35真田幸隆SSR+,1,62.522400,
paymentname_date_group,2025-05-11,中R,周期-日礼包,每日礼包-V9-14-5,1,8.336320,100.0
paymentname_date_group,2024-10-12,中R,珍珠,99.99-660珍珠,1,614.803600,
paymentname_date_group,2025-05-08,微R,神武锻造,神武锻造-购买档位1,1,33.866300,
paymentname_date_group,2024-11-04,中R,周期-日礼包,每日礼包-new-金币1,1,8.336320,80.0
paymentname_date_group,2025-03-31,中R,珍珠,49.99-320珍珠,1,312.612000,
paymentname_date_group,2024-10-10,大R,4周年庆典自选礼包,4周年庆典自选礼包2,1,312.612000,3200.0
paymentname_date_group,2025-02-15,中R,每日一键,一键购买,2,50.017920,480.0
