type,period,last1_paytag,dtype1,dtype2,users,money_rmb,sincetime_money
paymentact_week_group,0324-0330,超R,周期-日礼包,,1,0.000000,64.0
paymentact_week_group,0127-0202,非R,开运礼包,,1,125.044800,0.0
paymentact_week_group,1230-0105,大R,运营活动直购礼包,,1,125.044800,0.0
paymentact_week_group,0414-0420,中R,战鼓解锁,,1,0.000000,120.0
paymentact_week_group,0127-0202,超R,签到礼包,,9,3459.572800,2140.0
paymentact_week_group,0505-0511,中R,6周年礼包,,13,1385.913200,1592.0
paymentact_week_group,0428-0504,中R,情人节活动,,62,18392.006000,18596.0
paymentact_week_group,0414-0420,大R,运营活动直购礼包,,4,773.714700,780.0
paymentact_week_group,0120-0126,大R,珍珠,,16,20568.827560,0.0
paymentact_week_group,1230-0105,超R,每日一键,,6,325.116480,186.0
paymentact_week_group,0512-0518,中R,运营活动直购礼包,,3,317.822200,64.0
paymentact_week_group,0317-0323,中R,行脚商人,,25,7393.273800,2536.0
paymentact_week_group,0120-0126,大R,周期-周礼包,,7,390.765000,1360.0
paymentact_week_group,0203-0209,中R,每日一键,,30,650.232960,1138.0
paymentact_week_group,0428-0504,微R,签到礼包,,14,2115.341200,0.0
paymentact_week_group,0324-0330,微R,情人节活动,,8,945.651300,0.0
paymentact_week_group,0210-0216,超R,珍珠,,7,59268.109080,0.0
paymentact_week_group,0310-0316,中R,金币,,12,2933.342600,28.0
paymentact_week_group,0324-0330,超R,4周年庆典自选礼包,,7,4699.600400,800.0
paymentact_week_group,0512-0518,超R,限购礼包,,7,1734.996600,1756.0
paymentact_week_group,0505-0511,中R,battlepass,,7,943.046200,390.0
paymentact_week_group,0303-0309,超R,每日一键,,4,225.080640,40.0
paymentact_week_group,0317-0323,超R,运营活动直购礼包,,4,6273.080800,3960.0
paymentact_week_group,0512-0518,超R,月卡,,11,1044.645100,908.0
paymentact_week_group,0414-0420,超R,幸运屋,,3,125.044800,120.0
paymentact_week_group,0303-0309,非R,月度周储钱罐,,2,0.000000,32.0
paymentact_week_group,0127-0202,小R,游园会通行证,,4,500.179200,0.0
paymentact_week_group,0224-0302,大R,月卡,,14,630.434200,1004.0
paymentact_week_group,0428-0504,微R,神魔之乱,,9,1229.607200,192.0
paymentact_week_group,0317-0323,非R,battlepass-周年庆,,4,500.179200,0.0
paymentact_week_group,0210-0216,小R,团购礼包,,2,79.195040,0.0
paymentact_week_group,0519-0525,非R,周期-周礼包,,2,33.866300,2580.0
paymentact_week_group,0519-0525,微R,6周年礼包,,2,192.777400,0.0
paymentact_week_group,0310-0316,超R,每日一键,,3,250.089600,44.0
paymentact_week_group,0519-0525,非R,行脚商人,,1,0.000000,184.0
paymentact_week_group,0317-0323,微R,周期-日礼包,,1,0.000000,4.0
paymentact_week_group,0421-0427,微R,每日一键,,5,58.354240,24.0
paymentact_week_group,0519-0525,小R,月度活动,,2,125.044800,440.0
paymentact_week_group,0407-0413,小R,超级转盘,,1,250.089600,0.0
paymentact_week_group,0519-0525,非R,月次祭礼包,,1,409.000700,0.0
paymentact_week_group,0428-0504,中R,月度周储钱罐,,86,916.995200,496.0
paymentact_week_group,0512-0518,大R,一条龙,,22,2623.856720,2768.0
paymentact_week_group,0519-0525,小R,月卡,,33,3730.503200,120.0
paymentact_week_group,0317-0323,中R,月度周储钱罐,,56,566.869760,352.0
paymentact_week_group,0512-0518,小R,珍珠,,9,2634.277120,0.0
paymentact_week_group,0120-0126,微R,battlepass-周年庆,,20,2125.761600,360.0
paymentact_week_group,0407-0413,超R,超级转盘,,10,3722.687900,22264.0
paymentact_week_group,1230-0105,超R,神魔之乱,,7,5692.143500,1380.0
paymentact_week_group,0224-0302,大R,金币,,10,1425.510720,2796.0
paymentact_week_group,0106-0112,中R,月卡,,34,2816.113100,1184.0
paymentact_week_group,0317-0323,微R,月卡,,32,3673.191000,152.0
paymentact_week_group,0519-0525,大R,行脚商人,,16,3425.706500,4432.0
paymentact_week_group,0113-0119,小R,幸运屋,,8,812.791200,180.0
paymentact_week_group,0224-0302,中R,月次祭礼包,,19,6947.801700,2192.0
paymentact_week_group,0310-0316,非R,月度周储钱罐,,5,0.000000,80.0
paymentact_week_group,0414-0420,非R,情人节活动,,4,312.612000,4152.0
paymentact_week_group,0127-0202,小R,珍珠,,5,794.555500,0.0
paymentact_week_group,0113-0119,小R,超级转盘,,5,4728.256500,32.0
paymentact_week_group,0210-0216,大R,运营活动直购礼包,,8,4587.581100,1064.0
paymentact_week_group,0331-0406,超R,赛季UR养成通行证,,2,0.000000,1320.0
paymentact_week_group,0303-0309,超R,6周年礼包,,11,9133.480600,39468.0
paymentact_week_group,0210-0216,中R,周期-周礼包,,9,283.955900,460.0
paymentact_week_group,0407-0413,微R,团购礼包,,1,62.522400,0.0
paymentact_week_group,0310-0316,非R,情人节活动,,7,1039.434900,6748.0
paymentact_week_group,0210-0216,超R,游园会通行证,,4,250.089600,360.0
paymentact_week_group,0203-0209,超R,金币,,3,100.556860,36.0
paymentact_week_group,0120-0126,小R,battlepass-周年庆,,7,875.313600,0.0
paymentact_week_group,0303-0309,小R,行脚商人,,5,534.045500,0.0
paymentact_week_group,0324-0330,超R,周期-周礼包,,3,1552.639600,340.0
paymentact_week_group,0428-0504,超R,月卡,,2,33.866300,32.0
paymentact_week_group,0317-0323,中R,赛季征战活动,,2,125.044800,32.0
paymentact_week_group,0317-0323,大R,周期-日礼包,,4,799.765700,152.0
paymentact_week_group,0428-0504,非R,月度活动,,1,0.000000,440.0
paymentact_week_group,0512-0518,非R,珍珠,,1,125.044800,0.0
paymentact_week_group,0512-0518,微R,幸运屋,,1,62.522400,0.0
paymentact_week_group,0310-0316,大R,运营活动直购礼包,,2,260.510000,120.0
paymentact_week_group,0414-0420,小R,超级转盘,,1,125.044800,0.0
paymentact_week_group,0428-0504,非R,幸运屋,,1,0.000000,60.0
paymentact_week_group,0127-0202,小R,神魔之乱,,1,0.000000,160.0
paymentact_week_group,0106-0112,非R,月卡,,1,33.866300,0.0
paymentact_week_group,0317-0323,大R,6周年礼包,,21,10222.412400,15276.0
paymentact_week_group,0120-0126,大R,幸运屋,,7,125.044800,480.0
paymentact_week_group,0505-0511,中R,金币,,25,3262.106220,164.0
paymentact_week_group,0421-0427,小R,周期-周礼包,,8,150.574780,32.0
paymentact_week_group,0217-0223,中R,幸运屋,,10,573.122000,180.0
paymentact_week_group,0106-0112,大R,运营活动直购礼包,,9,9000.620500,1568.0
paymentact_week_group,0407-0413,大R,运营活动直购礼包,,4,1422.384600,520.0
paymentact_week_group,0303-0309,小R,battlepass,,3,536.650600,0.0
paymentact_week_group,0113-0119,小R,珍珠,,10,1015.989000,0.0
paymentact_week_group,0519-0525,微R,周期-周礼包,,4,50.017920,16.0
paymentact_week_group,0113-0119,微R,月度周储钱罐,,21,283.434880,64.0
paymentact_week_group,0407-0413,大R,月卡,,10,255.299800,364.0
paymentact_week_group,0512-0518,超R,每日一键,,6,233.416960,154.0
paymentact_week_group,0106-0112,超R,月度活动,,8,1750.627200,1440.0
paymentact_week_group,0120-0126,微R,周期-日礼包,,3,16.672640,8.0
paymentact_week_group,0505-0511,微R,限购礼包,,3,185.483120,0.0
paymentact_week_group,0310-0316,超R,6周年礼包,,14,11954.803900,37956.0
paymentact_week_group,0324-0330,中R,运营活动直购礼包,,1,125.044800,0.0
paymentact_week_group,0127-0202,未活跃,月卡,,1,25.008960,0.0
paymentact_week_group,0127-0202,非R,月度周储钱罐,,3,16.672640,32.0
paymentact_week_group,0512-0518,小R,月度活动,,1,437.656800,0.0
paymentact_week_group,0324-0330,小R,月度活动,,4,500.179200,0.0
paymentact_week_group,0224-0302,中R,福瑞赏,,9,812.791200,420.0
paymentact_week_group,0310-0316,超R,battlepass-周年庆,,5,250.089600,360.0
paymentact_week_group,0303-0309,微R,月度活动,,2,562.701600,0.0
paymentact_week_group,0407-0413,超R,battlepass,,1,0.000000,195.0
paymentact_week_group,0203-0209,大R,幸运屋,,8,625.224000,180.0
paymentact_week_group,0414-0420,微R,行脚商人,,2,187.567200,0.0
paymentact_week_group,0512-0518,小R,团购礼包,,3,312.612000,0.0
paymentact_week_group,0203-0209,微R,周期-日礼包,,1,8.336320,0.0
paymentact_week_group,0203-0209,非R,金币,,2,8.336320,4.0
paymentact_week_group,0317-0323,微R,战鼓解锁,,1,125.044800,0.0
paymentact_week_group,0303-0309,小R,超级转盘,,1,614.803600,0.0
paymentact_week_group,0324-0330,非R,团购礼包,,2,1135.823600,0.0
paymentact_week_group,0519-0525,非R,开运礼包,,1,33.866300,0.0
paymentact_week_group,0317-0323,非R,神魔之乱,,1,226.643700,0.0
paymentact_week_group,0519-0525,中R,月度周储钱罐,,87,900.322560,528.0
paymentact_week_group,0113-0119,中R,月卡,,53,3985.803000,1400.0
paymentact_week_group,0421-0427,中R,一条龙,,125,16365.238200,6104.0
paymentact_week_group,0210-0216,中R,月卡,,57,4712.625900,1060.0
paymentact_week_group,0421-0427,非R,月度周储钱罐,,6,33.345280,64.0
paymentact_week_group,0324-0330,超R,月卡,,6,317.822200,300.0
paymentact_week_group,0113-0119,大R,神武锻造,,18,4194.211000,7196.0
paymentact_week_group,0317-0323,中R,超级转盘,,11,2657.202000,2656.0
paymentact_week_group,0303-0309,大R,神武锻造,,24,16365.238200,4812.0
paymentact_week_group,0224-0302,微R,月卡,,23,2089.290200,152.0
paymentact_week_group,0324-0330,中R,金币,,22,3605.458400,3160.0
paymentact_week_group,0519-0525,大R,珍珠,,9,16674.724080,0.0
paymentact_week_group,0203-0209,大R,超级转盘,,9,5702.563900,5660.0
paymentact_week_group,0421-0427,微R,珍珠,,4,138.591320,0.0
paymentact_week_group,0519-0525,小R,周期-周礼包,,3,50.017920,0.0
paymentact_week_group,0113-0119,超R,月度活动,,5,687.746400,560.0
paymentact_week_group,0224-0302,中R,珍珠,,25,15293.500060,0.0
paymentact_week_group,0203-0209,大R,每日一键,,12,333.452800,434.0
paymentact_week_group,0421-0427,大R,行脚商人,,10,1260.868400,1020.0
paymentact_week_group,1230-0105,小R,每日一键,,9,150.053760,64.0
paymentact_week_group,0414-0420,中R,倍率转盘,,3,406.395600,1380.0
paymentact_week_group,0106-0112,超R,每日一键,,6,475.170240,202.0
paymentact_week_group,0519-0525,非R,珍珠,,2,346.478300,0.0
paymentact_week_group,0519-0525,小R,周期-日礼包,,4,8.336320,68.0
paymentact_week_group,0512-0518,未活跃,签到礼包,,1,614.803600,0.0
paymentact_week_group,0324-0330,微R,团购礼包,,2,125.044800,0.0
paymentact_week_group,0512-0518,小R,6周年礼包,,1,463.707800,448.0
paymentact_week_group,0505-0511,大R,金币,,4,104.725020,1396.0
paymentact_week_group,0127-0202,非R,珍珠,,1,62.522400,0.0
paymentact_week_group,0303-0309,大R,赛季UR养成通行证,,1,0.000000,660.0
paymentact_week_group,0113-0119,中R,周期-日礼包,,4,562.701600,60.0
paymentact_week_group,0414-0420,超R,游园会通行证,,2,375.134400,0.0
paymentact_week_group,0120-0126,小R,周期-日礼包,,1,58.354240,0.0
paymentact_week_group,0317-0323,非R,月次祭礼包,,1,0.000000,2240.0
paymentact_week_group,0331-0406,中R,游园会通行证,,1,0.000000,180.0
paymentact_week_group,1230-0105,小R,4周年庆典自选礼包,,1,125.044800,0.0
paymentact_week_group,0317-0323,微R,游园会通行证,,1,187.567200,0.0
paymentact_week_group,0512-0518,微R,6周年礼包,,1,33.866300,0.0
paymentact_week_group,0324-0330,超R,开运礼包,,1,0.000000,640.0
paymentact_week_group,0120-0126,微R,周期-周礼包,,1,33.866300,0.0
paymentact_week_group,0317-0323,微R,4周年庆典自选礼包,,3,937.836000,0.0
paymentact_week_group,0421-0427,大R,超级转盘,,12,1987.691300,23476.0
paymentact_week_group,0217-0223,中R,月度周储钱罐,,61,566.869760,432.0
paymentact_week_group,0217-0223,小R,周期-日礼包,,3,195.903520,0.0
paymentact_week_group,0317-0323,小R,月卡,,29,2922.922200,92.0
paymentact_week_group,0428-0504,小R,金币,,12,988.374940,20.0
paymentact_week_group,0203-0209,中R,赛季UR养成通行证,,2,927.415600,0.0
paymentact_week_group,0120-0126,中R,超级转盘,,17,8221.695600,6880.0
paymentact_week_group,0113-0119,超R,4周年庆典自选礼包,,10,5574.914000,7460.0
paymentact_week_group,0310-0316,中R,限购礼包,,23,1607.346700,1608.0
paymentact_week_group,0210-0216,小R,情人节活动,,16,2050.213700,880.0
paymentact_week_group,0210-0216,中R,battlepass,,8,1479.696800,195.0
