start_natualweek,end_natualweek,natual_week,reason_type,reason,reason_cn,last1_paytag,users,core_add,core_cost
2025-05-05,2025-05-11,0505-0511,gold_free,240,未领取家族战积分奖励邮件,未活跃,9,35000.0,
2025-03-24,2025-03-30,0324-0330,other,618,城池内政放置奖励,超R,6,,33900.0
2025-04-28,2025-05-04,0428-0504,other,654,神魔活动副本购买次数,小R,14,,19800.0
2025-04-28,2025-05-04,0428-0504,other,389,购买驿站刷新次数,未活跃,6,,850.0
2025-04-28,2025-05-04,0428-0504,gold_free,207,同期排行榜,未活跃,2,1800.0,
2025-05-26,2025-06-01,0526-0601,other,907,圣诞-通行证,大R,3,2100.0,
2024-12-16,2024-12-22,1216-1222,other,401,高级招募,非R,6,,2400.0
2024-11-11,2024-11-17,1111-1117,other,431,购买体力,小R,5,,14400.0
2025-02-03,2025-02-09,0203-0209,other,413,战旗招募,小R,5,,2200.0
2025-03-24,2025-03-30,0324-0330,gold_paid,192,充值赠送,小R,2,1520.0,
2025-01-20,2025-01-26,0120-0126,gold_free,191,副本星星宝箱,中R,1,50.0,
2025-05-19,2025-05-25,0519-0525,other,379,家族战提供公共武将,大R,5,,3000.0
2024-09-30,2024-10-06,0930-1006,other,352,俘虏勒索,微R,2,,1629.0
2024-10-28,2024-11-03,1028-1103,gold_paid,362,充值签到,微R,31,3200.0,
2025-05-05,2025-05-11,0505-0511,gold_paid,399,购买自选礼包,中R,4,10760.0,
2025-03-31,2025-04-06,0331-0406,other,375,战鼓升星,超R,4,,105000.0
2024-11-11,2024-11-17,1111-1117,gold_free,196,每日任务奖励,超R,16,21620.0,
2024-10-07,2024-10-13,1007-1013,other,0,管理员,大R,4,2000.0,
2025-02-03,2025-02-09,0203-0209,other,420,购买VIP礼包,非R,7,,5213.0
2025-04-14,2025-04-20,0414-0420,other,659,自由市集购买礼包,中R,11,,14800.0
2025-05-12,2025-05-18,0512-0518,other,157,购买通行证等级,小R,1,,14000.0
2025-01-13,2025-01-19,0113-0119,other,949,装备饰品和改造交换,小R,6,,2200.0
2025-04-28,2025-05-04,0428-0504,gold_paid,933,签到礼包领奖,非R,2,5500.0,
2025-02-24,2025-03-02,0224-0302,other,640,阵法招募,微R,1,,200.0
2025-01-13,2025-01-19,0113-0119,other,452,家族红包,非R,3,,9000.0
2024-10-14,2024-10-20,1014-1020,other,383,家族战天赋树,小R,3,,0.0
2025-01-06,2025-01-12,0106-0112,other,936,资源找回,未活跃,4,,13210.0
2025-05-05,2025-05-11,0505-0511,gold_free,240,未领取家族战积分奖励邮件,微R,1,900.0,
2024-09-30,2024-10-06,0930-1006,other,621,活动兑换,中R,3,,10400.0
2024-09-30,2024-10-06,0930-1006,other,371,购买武将体力,超R,2,,4400.0
2025-04-28,2025-05-04,0428-0504,other,618,城池内政放置奖励,大R,13,,27300.0
2025-05-05,2025-05-11,0505-0511,other,609,限定募集活动,未活跃,11,,23200.0
2025-04-07,2025-04-13,0407-0413,gold_free,680,竞技场大赛季结算,非R,4,600.0,
2025-05-26,2025-06-01,0526-0601,other,675,竞技场购买挑战次数消耗,大R,1,,500.0
2024-12-16,2024-12-22,1216-1222,other,358,俘虏劳役,非R,3,,300.0
2025-04-28,2025-05-04,0428-0504,other,375,战鼓升星,微R,5,,96000.0
2024-12-30,2025-01-05,1230-0105,gold_paid,192,充值赠送,超R,2,6920.0,
2025-02-10,2025-02-16,0210-0216,gold_free,354,招财猫活动,未活跃,3,7671.0,6720.0
2025-05-12,2025-05-18,0512-0518,other,200,重置精英副本,中R,3,,150.0
2025-02-24,2025-03-02,0224-0302,other,141,快速升级城市建筑,超R,3,,2266.0
2025-02-17,2025-02-23,0217-0223,other,200,重置精英副本,大R,1,,30.0
2025-05-19,2025-05-25,0519-0525,other,473,国宝高级招募,超R,2,,800.0
2024-11-11,2024-11-17,1111-1117,gold_paid,933,签到礼包领奖,非R,6,41700.0,
2024-12-30,2025-01-05,1230-0105,gold_free,306,家族红包返还,小R,2,3672.0,
2024-11-18,2024-11-24,1118-1124,other,621,活动兑换,微R,5,,11700.0
2025-02-17,2025-02-23,0217-0223,other,676,竞技场主动随机消耗,微R,3,,600.0
2025-03-03,2025-03-09,0303-0309,other,471,神威高级招募,微R,4,,4400.0
2025-02-17,2025-02-23,0217-0223,other,401,高级招募,超R,1,,1400.0
2024-09-30,2024-10-06,0930-1006,other,383,家族战天赋树,大R,3,,0.0
2025-05-12,2025-05-18,0512-0518,other,388,购买驿站派遣次数,超R,6,,6900.0
2025-01-13,2025-01-19,0113-0119,gold_free,311,排位赛段位任务,微R,1,50.0,
2024-11-11,2024-11-17,1111-1117,other,224,主城加速升级,中R,3,,2238.0
2024-12-09,2024-12-15,1209-1215,other,413,战旗招募,小R,4,,7600.0
2024-12-16,2024-12-22,1216-1222,other,243,战旗挂机立即完成,超R,5,,5392.0
2025-05-19,2025-05-25,0519-0525,other,157,购买通行证等级,超R,1,,2500.0
2025-05-26,2025-06-01,0526-0601,gold_free,305,家族红包领取,大R,2,176.0,
2024-10-07,2024-10-13,1007-1013,gold_free,311,排位赛段位任务,小R,1,50.0,
2025-03-10,2025-03-16,0310-0316,other,403,S1招募,中R,1,,200.0
2025-05-12,2025-05-18,0512-0518,gold_paid,4,玩家付费,未活跃,2,8100.0,
2025-03-10,2025-03-16,0310-0316,other,433,购买银币,超R,4,,12900.0
2024-10-14,2024-10-20,1014-1020,other,389,购买驿站刷新次数,未活跃,4,,2300.0
2025-02-24,2025-03-02,0224-0302,other,431,购买体力,未活跃,2,,720.0
2024-10-21,2024-10-27,1021-1027,other,375,战鼓升星,大R,1,,30000.0
2025-04-21,2025-04-27,0421-0427,gold_free,305,家族红包领取,超R,2,279.0,
2024-12-02,2024-12-08,1202-1208,gold_free,239,家族战积分奖励,未活跃,2,1400.0,
2024-11-04,2024-11-10,1104-1110,other,1,购买,小R,1,,20.0
2024-12-30,2025-01-05,1230-0105,other,471,神威高级招募,超R,1,,4000.0
2025-01-06,2025-01-12,0106-0112,other,420,购买VIP礼包,中R,1,,3499.0
2025-02-03,2025-02-09,0203-0209,other,141,快速升级城市建筑,中R,1,,440.0
2024-12-16,2024-12-22,1216-1222,other,621,活动兑换,微R,4,,10200.0
2025-03-10,2025-03-16,0310-0316,gold_paid,4,玩家付费,未活跃,3,1900.0,
2024-11-04,2024-11-10,1104-1110,other,621,活动兑换,微R,2,,4600.0
2024-12-23,2024-12-29,1223-1229,gold_free,305,家族红包领取,大R,4,849.0,
2024-12-30,2025-01-05,1230-0105,gold_free,13001,玩家回流活动,微R,1,300.0,
2024-10-21,2024-10-27,1021-1027,gold_free,191,副本星星宝箱,小R,2,250.0,
2025-02-10,2025-02-16,0210-0216,gold_free,678,竞技场小赛季结算,超R,5,1400.0,
2024-11-25,2024-12-01,1125-1201,other,413,战旗招募,小R,1,,600.0
2025-05-05,2025-05-11,0505-0511,other,243,战旗挂机立即完成,大R,3,,509.0
2025-02-17,2025-02-23,0217-0223,other,403,S1招募,微R,2,,1000.0
2024-11-11,2024-11-17,1111-1117,gold_free,191,副本星星宝箱,微R,1,50.0,
2025-02-24,2025-03-02,0224-0302,gold_free,387,驿站任务完成,未活跃,3,200.0,
2024-10-14,2024-10-20,1014-1020,other,403,S1招募,中R,1,,200.0
2024-11-18,2024-11-24,1118-1124,other,224,主城加速升级,超R,1,,1.0
2024-11-11,2024-11-17,1111-1117,gold_free,240,未领取家族战积分奖励邮件,非R,1,500.0,
2025-05-05,2025-05-11,0505-0511,other,157,购买通行证等级,非R,1,,2500.0
2025-03-03,2025-03-09,0303-0309,other,411,S1装备招募,未活跃,1,,1400.0
2024-11-18,2024-11-24,1118-1124,other,627,家族科技捐献,小R,1,,100.0
2024-10-14,2024-10-20,1014-1020,gold_paid,399,购买自选礼包,超R,1,3200.0,
2024-10-28,2024-11-03,1028-1103,other,473,国宝高级招募,超R,1,,200.0
2024-11-04,2024-11-10,1104-1110,gold_free,13001,玩家回流活动,微R,1,200.0,
2024-11-04,2024-11-10,1104-1110,other,360,俘虏取乐,非R,1,,100.0
2024-09-30,2024-10-06,0930-1006,other,375,战鼓升星,大R,1,,30000.0
2025-02-10,2025-02-16,0210-0216,other,1,购买,微R,1,,20.0
2025-04-07,2025-04-13,0407-0413,gold_paid,10079,成长计划-3-初级,小R,1,1000.0,
2024-12-02,2024-12-08,1202-1208,other,388,购买驿站派遣次数,超R,7,,8500.0
2024-10-14,2024-10-20,1014-1020,other,371,购买武将体力,小R,13,,21000.0
2024-10-21,2024-10-27,1021-1027,other,471,神威高级招募,非R,32,,40200.0
2024-10-07,2024-10-13,1007-1013,gold_free,196,每日任务奖励,微R,235,287010.0,
2024-11-11,2024-11-17,1111-1117,other,371,购买武将体力,中R,26,,71400.0
2024-11-18,2024-11-24,1118-1124,gold_free,387,驿站任务完成,微R,252,864220.0,
2024-11-25,2024-12-01,1125-1201,special,316,兑换,微R,207,10.0,1439600.0
2024-12-23,2024-12-29,1223-1229,gold_free,387,驿站任务完成,小R,164,598000.0,
2025-01-13,2025-01-19,0113-0119,other,926,设置武将化境技能,非R,101,,13900.0
2025-01-20,2025-01-26,0120-0126,gold_free,196,每日任务奖励,超R,20,26200.0,
2025-01-06,2025-01-12,0106-0112,gold_free,372,战斗结算宝箱开启,小R,115,39045.0,3883.0
2025-01-06,2025-01-12,0106-0112,other,389,购买驿站刷新次数,中R,149,,150075.0
2025-02-24,2025-03-02,0224-0302,gold_paid,194,月卡奖励,中R,119,202950.0,
2024-10-28,2024-11-03,1028-1103,gold_free,310,排位赛每日任务,微R,247,84160.0,
2024-10-28,2024-11-03,1028-1103,gold_free,602,荣誉殿堂,小R,177,355400.0,
2024-10-28,2024-11-03,1028-1103,gold_free,103,周签到,小R,177,35000.0,
2024-10-28,2024-11-03,1028-1103,gold_free,196,每日任务奖励,小R,177,229360.0,
2025-02-03,2025-02-09,0203-0209,gold_free,602,荣誉殿堂,非R,1821,2186900.0,
2025-02-03,2025-02-09,0203-0209,gold_free,103,周签到,非R,1761,327700.0,
2024-11-04,2024-11-10,1104-1110,other,925,武将等级交换活动,非R,43,,12200.0
2025-01-27,2025-02-02,0127-0202,gold_free,103,周签到,小R,152,29700.0,
2025-01-27,2025-02-02,0127-0202,gold_free,387,驿站任务完成,大R,44,170750.0,
2024-11-04,2024-11-10,1104-1110,other,365,兵装生产加速,中R,65,,11374.0
2024-11-04,2024-11-10,1104-1110,special,15,使用道具,中R,145,181124.0,
2024-10-21,2024-10-27,1021-1027,other,945,团购金币购买,非R,118,,104000.0
2025-01-20,2025-01-26,0120-0126,other,388,购买驿站派遣次数,中R,86,,77300.0
2024-11-18,2024-11-24,1118-1124,other,365,兵装生产加速,小R,58,,7899.0
2025-03-17,2025-03-23,0317-0323,gold_paid,4,玩家付费,小R,60,67340.0,
2025-03-24,2025-03-30,0324-0330,other,389,购买驿站刷新次数,中R,129,,132750.0
2025-04-28,2025-05-04,0428-0504,other,224,主城加速升级,非R,20,,3885.0
2025-02-24,2025-03-02,0224-0302,other,675,竞技场购买挑战次数消耗,超R,7,,5600.0
2025-02-17,2025-02-23,0217-0223,special,15,使用道具,小R,104,88380.0,
2025-02-17,2025-02-23,0217-0223,other,350,俘虏勒索,非R,38,,47260.0
2025-03-03,2025-03-09,0303-0309,gold_free,103,周签到,非R,1790,332200.0,
2025-05-12,2025-05-18,0512-0518,other,675,竞技场购买挑战次数消耗,超R,6,,7100.0
2025-03-17,2025-03-23,0317-0323,other,609,限定募集活动,大R,2,,8000.0
2025-05-05,2025-05-11,0505-0511,other,636,家族总动员购买任务次数,微R,80,,11500.0
2025-01-13,2025-01-19,0113-0119,gold_paid,933,签到礼包领奖,超R,20,156500.0,
2025-04-21,2025-04-27,0421-0427,other,389,购买驿站刷新次数,大R,29,,28675.0
2025-04-21,2025-04-27,0421-0427,other,402,UR招募,中R,14,,9900.0
2025-04-14,2025-04-20,0414-0420,other,433,购买银币,非R,75,,33000.0
2025-05-12,2025-05-18,0512-0518,special,15,使用道具,小R,106,80752.0,
2024-12-02,2024-12-08,1202-1208,other,388,购买驿站派遣次数,小R,69,,40000.0
2025-03-17,2025-03-23,0317-0323,other,365,兵装生产加速,中R,58,,11587.0
2025-03-31,2025-04-06,0331-0406,other,433,购买银币,非R,93,,41100.0
2025-03-03,2025-03-09,0303-0309,other,365,兵装生产加速,大R,22,,5713.0
2025-05-05,2025-05-11,0505-0511,gold_free,372,战斗结算宝箱开启,微R,235,71860.0,5907.0
2024-12-02,2024-12-08,1202-1208,other,388,购买驿站派遣次数,微R,86,,59400.0
2024-09-30,2024-10-06,0930-1006,other,389,购买驿站刷新次数,微R,170,,147200.0
2024-11-04,2024-11-10,1104-1110,gold_free,191,副本星星宝箱,非R,62,8450.0,
2025-01-13,2025-01-19,0113-0119,other,675,竞技场购买挑战次数消耗,微R,2,,600.0
2024-11-18,2024-11-24,1118-1124,other,409,赛季返场和集结招募,小R,25,,261600.0
2025-01-20,2025-01-26,0120-0126,other,224,主城加速升级,微R,9,,1003.0
2024-11-18,2024-11-24,1118-1124,other,434,购买计策道具,微R,50,,37610.0
2025-01-20,2025-01-26,0120-0126,other,675,竞技场购买挑战次数消耗,微R,10,,4900.0
2025-02-17,2025-02-23,0217-0223,special,15,使用道具,超R,12,45300.0,
2025-03-10,2025-03-16,0310-0316,other,402,UR招募,非R,33,,40000.0
2025-01-13,2025-01-19,0113-0119,other,405,s21赛季及以后的赛季UR,非R,59,,105000.0
2025-02-24,2025-03-02,0224-0302,other,224,主城加速升级,微R,5,,462.0
2024-12-30,2025-01-05,1230-0105,other,473,国宝高级招募,非R,28,,32400.0
2025-01-27,2025-02-02,0127-0202,other,654,神魔活动副本购买次数,微R,7,,5000.0
2024-12-30,2025-01-05,1230-0105,gold_free,193,八日活动奖励,未活跃,14,3660.0,
2025-04-07,2025-04-13,0407-0413,other,16,代替道具,非R,64,,61510.0
2025-05-19,2025-05-25,0519-0525,other,401,高级招募,非R,6,,1600.0
2025-04-07,2025-04-13,0407-0413,other,200,重置精英副本,微R,4,,160.0
2025-03-10,2025-03-16,0310-0316,other,405,s21赛季及以后的赛季UR,非R,44,,71400.0
2025-05-05,2025-05-11,0505-0511,other,389,购买驿站刷新次数,中R,116,,125700.0
2025-04-14,2025-04-20,0414-0420,other,405,s21赛季及以后的赛季UR,非R,56,,81400.0
2025-03-03,2025-03-09,0303-0309,other,636,家族总动员购买任务次数,微R,76,,10670.0
2025-03-03,2025-03-09,0303-0309,other,243,战旗挂机立即完成,大R,8,,1819.0
2024-10-07,2024-10-13,1007-1013,other,412,装备强化,大R,1,,160.0
2024-10-14,2024-10-20,1014-1020,gold_paid,194,月卡奖励,大R,50,93900.0,
2024-12-16,2024-12-22,1216-1222,other,375,战鼓升星,中R,32,,588000.0
2024-09-30,2024-10-06,0930-1006,other,675,竞技场购买挑战次数消耗,中R,12,,3800.0
2025-02-17,2025-02-23,0217-0223,other,471,神威高级招募,非R,19,,14000.0
2024-11-18,2024-11-24,1118-1124,other,402,UR招募,微R,7,,19200.0
2025-01-20,2025-01-26,0120-0126,other,471,神威高级招募,中R,4,,2800.0
2025-02-03,2025-02-09,0203-0209,gold_free,101,任务,未活跃,16,2020.0,
2025-03-24,2025-03-30,0324-0330,gold_free,354,招财猫活动,未活跃,5,13557.0,12160.0
2025-01-20,2025-01-26,0120-0126,gold_free,193,八日活动奖励,未活跃,17,4920.0,
2025-05-19,2025-05-25,0519-0525,other,338,神将祈愿活动,小R,39,,333100.0
2025-05-12,2025-05-18,0512-0518,gold_free,372,战斗结算宝箱开启,未活跃,21,4325.0,240.0
2025-03-10,2025-03-16,0310-0316,other,16,代替道具,非R,56,,47064.0
2025-04-07,2025-04-13,0407-0413,other,379,家族战提供公共武将,中R,9,,4200.0
2024-12-09,2024-12-15,1209-1215,other,383,家族战天赋树,非R,8,,0.0
2024-12-16,2024-12-22,1216-1222,other,926,设置武将化境技能,小R,9,,1000.0
2024-12-16,2024-12-22,1216-1222,other,375,战鼓升星,大R,10,,301000.0
2024-11-04,2024-11-10,1104-1110,gold_paid,933,签到礼包领奖,非R,4,12100.0,
2025-01-13,2025-01-19,0113-0119,other,402,UR招募,非R,30,,54000.0
2024-12-23,2024-12-29,1223-1229,other,473,国宝高级招募,微R,5,,5200.0
2024-12-30,2025-01-05,1230-0105,gold_free,101,任务,未活跃,17,1850.0,
2025-03-24,2025-03-30,0324-0330,other,945,团购金币购买,小R,4,,2000.0
2024-12-09,2024-12-15,1209-1215,other,403,S1招募,小R,4,,1600.0
2024-11-11,2024-11-17,1111-1117,special,15,使用道具,超R,13,45306.0,
2024-12-09,2024-12-15,1209-1215,other,945,团购金币购买,微R,13,,11500.0
2024-11-11,2024-11-17,1111-1117,other,141,快速升级城市建筑,小R,2,,44.0
2024-11-18,2024-11-24,1118-1124,gold_free,239,家族战积分奖励,大R,31,12800.0,
2025-05-19,2025-05-25,0519-0525,gold_paid,192,充值赠送,超R,3,17600.0,
